title,author,year_pub,provider,region,crop,uri,group
TAMASA Tanzania APS household data for 2016,"Chamberlin, Jordan (CIMMYT) ",2019,TAMASA [CIMMYT],Tanzania,maize,hdl:11529/10548230,survey
GHA Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Baseline Evaluation Survey,International Food Policy Research Institute (IFPRI),2015,IFPRI,Ghana,,doi:10.7910/DVN/QUB9UT,survey
Grain Yield Performance of Selected Lowland NERICA and Modern Asian Rice Genotypes in West Africa,"K. Saito (Africa Rice Center (WARDA), 01 BP 2031, Cotonou, BEN); Azoma (frica Rice Center (WARDA), 01 BP 2031, Cotonou, BEN); M. Sie (Rice Center (WARDA), 01 BP 2031, Cotonou, BEN)",2012,AfricaRice,Benin,,doi:10.7910/DVN/1MFGTJ,variety_trials
Agronomic management of Rice blast datasets,"Auzoux, Sandrine",2019,CIRAD,Madagascar,rice,doi:10.18167/DVN1/Y5HADO,agronomy
Farmer Profiling Data - Ethiopia,"Hagazi, Niguse",2019,ICARDA,Ethiopia,,hdl:20.500.11766.1/FK2/LU99IW,survey
"Replication Data for: Trade-Offs and Synergies Between Yield, Labor, Profit, and Risk in MWIan Maize-Based Cropping Systems",International Food Policy Research Institute (IFPRI),2018,IFPRI,Malawi,,doi:10.7910/DVN/ILVSXJ,survey
IITA-ADC biochar study UGA on Maize,"Roobroeck, Dries",2019,IITA,Uganda,maize;  groundnut ,doi:10.25502/z5dp-be17/d,survey
Replication Data for: Nonlinear heat effects on African Maize as evidenced by historical yield trials,"Lobell, David B.",2019,CIMMYT,Africa,maize,hdl:11529/10548190,maize_trials
Data from: Maize-nutrient response information applied across Sub-Saharan Africa,Wortmann Charles,2020,University of Nebraska - Lincoln,Africa,maize,doi:10.5061/dryad.tt6h5h1,fertilizer
Dataset for: Late blight resistant potato varieties for the tropical highlands and mid-elevation,"Gastelo, Manuel",2021,CIP,Peru,potato,doi:10.21223/BJECYK,diseases
"Dataset for: Iron, zinc and vitamin C concentration of hundreds of potato landraces from Huancavelica","Burgos, Gabriela",2019,CIP,Peru,potato,doi:10.21223/P3/LXO6O2,variety_trials
Dataset for: Stability analysis for nutritional contents (minerals) on 40 native potato cultivars,"Salas, Elisa",2017,CIP,Peru,potato,doi:10.21223/P3/SVHUCG,variety_trials
Dataset for: Stability analysis for nutritional contents (Vitamin C) on 40 native potato cultivars,"Salas, Elisa",2017,CIP,Peru,potato,doi:10.21223/P3/NIZ8AG,variety_trials
IPM of insect pests - Russian Wheat Aphid project: Evaluation of wild relatives for Russian wheat aphid resistance experiment 2003,"El Bouhssini, Mustapha",2024,ICARDA,Syria,wheat,hdl:20.500.11766.1/FK2/DP2OTC,wheat_trials
Durum wheat multi-location data of CWR-derived lines conducted in Morocco during 2022-23 season,"El Haddad, Noureddine",2023,ICARDA,Morocco,wheat,hdl:20.500.11766.1/FK2/YIZDLA,wheat_trials
Adoption of dual-purpose groundnut varieties in Odisha,"Teufel, Nils",2023,ICARDA,India,groundnut,hdl:20.500.11766.1/FK2/TEE5QY,survey
"Dataset for: Potential new bio-fortified potato varieties high in iron and zinc to contribute to food and nutrition security in Huanuco, Peru","Salas, Elisa",2019,CIP,Peru,potato,doi:10.21223/P3/2L9H6Y,variety_trials
"Dataset for: Potential new bio-fortified potato varieties high in iron and zinc to contribute to food and nutrition security in La Libertad, Peru","Salas, Elisa",2020,CIP,Peru,potato,doi:10.21223/HRLAI0,variety_trials
