title,author,year_pub,provider,country,crop,uri,group
Long-term fertility experiments for irrigated Rice in the West African Sahel: agronomic results,"Haefele, S.M. (West Africa Rice Development Association (WARDA), BP 96, St. Louis, SEN); Wopereis, M.C.S. (West Africa Rice Development Association (WARDA), 01 BouakeÃ‚Â´, BP 2551, Cote dÃ¢â‚¬â„¢Ivoire); Wiechmann, H. (Soil Science Department of Hamburg University, Allendeplatz 2, 20148 Hamburg, Germany)",2012,AfricaRice,SEN,,https://doi.org/10.7910/DVN/U1XLZU,fertilizer
Rice production with less irrigation water is possible in a Sahelian environment,"Michiel E. de Vries (Plant Production Systems, Wageningen University, P.O. Box 430, 6700 AK Wageningen, The Netherlands, Africa Rice Center AfricaRice Sahel Station, BP 96 St Louis,SEN); Jonne Rodenburg (Africa Rice Center (AfricaRice) Ã¢â‚¬â€œ East and Southern Africa Rice Program, P.O. Box 33581, Dar es Salaam, TZN); Boubie V. Bado (Africa Rice Center (AfricaRice) Ã¢â‚¬â€œ Sahel Station, BP 96 St Louis, SEN); Abdoualye Sow (Africa Rice Center (AfricaRice) Ã¢â‚¬â€œ Sahel Station, BP 96 St Louis, SEN); Peter A. Leffelaar (Plant Production Systems, Wageningen University, P.O. Box 430, 6700 AK Wageningen, The Netherlands); Ken E. Giller (Plant Production Systems, Wageningen University, P.O. Box 430, 6700 AK Wageningen, The Netherlands)",2012,AfricaRice,SEN,NA,https://doi.org/10.7910/DVN/QVDRV7,rice_trials
Soil Survey to Characterize 2 Sentinel Sites (CIAT),International Center for Tropical Agriculture (CIAT??Selian Agricultural Research Institute (SARI,2017-08-01T17:45:53Z,Africa RISING Dataverse,,,https://doi.org/10.7910/DVN/KLPHCG,soil_samples
"Dataset for: Advanced yield trial, wide adapted population with 6 locations","Gruneberg, Wolfgang",2022,CIP,PER,sweetpotato,https://doi.org/10.21223/8NSSWF,crop_cuts
Dataset for: Biofortified clones in Rwanda 2020,"Mendes, Thiago",2021,CIP,RWA,potato,https://doi.org/10.21223/ZZSTWK,potato_trials
"Dataset for: Advanced yield trial, low sugar population with 6 locations","Gruneberg, Wolfgang",2022,CIP,PER,sweetpotato,https://doi.org/10.21223/SAIZKC,sweetpotato_trials
Baseline survey on extension services influence on smallholder farmer's adoption of improved wheat variety,"Yitayew, Asresu",2019,ICARDA,Ethiopia,wheat,https://hdl.handle.net/20.500.11766.1/FK2/NCCYHG,survey
IPM of insect pests - Leafminer project: Selection of spring chickpea for resistance to leafminer experiment 2005,"El Bouhssini, Mustapha",2023,ICARDA,Syria,chickpea,https://hdl.handle.net/20.500.11766.1/FK2/OOGDVM,crop_protection
El Bab Project: Introduction of Common Vetch in Crop Rotation in El-Bab Survey 2000,"Mazid, Ahmed",2020,ICARDA,Syria,"wheat,barley",https://hdl.handle.net/20.500.11766.1/FK2/XMHM8J,survey
Africa RISING TZN- Maize Intensification Using Fertilizer,World Agroforestry Center (ICRAF); Sokoine University of Agriculture (SUA),2016,IFPRI,TZA,,https://doi.org/10.7910/DVN/6YPPQO,fertilizer
MLI Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Baseline Evaluation Survey,International Food Policy Research Institute (IFPRI),2015,IFPRI,MLI,,https://doi.org/10.7910/DVN/UDKSBJ,survey
ETH Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Baseline Evaluation Survey,International Food Policy Research Institute (IFPRI),2016,IFPRI,ETH,NA,https://doi.org/10.7910/DVN/H6RWOO,survey
MWI Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Baseline Evaluation Survey,International Food Policy Research Institute (IFPRI),2015,IFPRI,MWI,NA,https://doi.org/10.7910/DVN/28557,survey
TZN Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Baseline Evaluation Survey,International Food Policy Research Institute (IFPRI),2015,IFPRI,TZA,NA,https://doi.org/10.7910/DVN/PPUL2W,survey
Fertilizer Microdosing/Intensification of Maize-legume based systems in the semi-arid areas of tanzania,World Agroforestry Center (ICRAF); Sokoine University of Agriculture (SUA),2016,IFPRI,TZA,NA,https://doi.org/10.7910/DVN/4DDPFG,fertilizer
Fertilizer Study Gender Babati,IITA,2014,IFPRI,TZA,,https://doi.org/10.7910/DVN/74QMCD,fertilizer
Scaling-up sustainable cropping practices: \'Zia\' and \'Micro-dosing\',International Institute of Tropical Agriculture (International Institue of Tropical Agriculture (IITA)); Savanna Agricultural Research Institute (SARI),2015,IFPRI,GHA,NA,https://doi.org/10.7910/DVN/J6BHT8,crop_cuts
"Promoting Sustainable Intensification Through Efficient Application of Different Sources of Phosphorus (Minjingu Granular, Minjingu Mazao, DAP and TSP) (CIAT)",International Center for Tropical Agriculture (CIAT); Selian Agricultural Research Institute (SARI),2017,IFPRI,TZA,,https://doi.org/10.7910/DVN/G2CSNP,fertilizer
Evaluating Fertilizer Recommendations with Farmers,World Agroforestry Center (ICRAF); Sokoine University of Agriculture (SUA),2017,IFPRI,TZA,NA,https://doi.org/10.7910/DVN/TW1LEH,fertilizer
Raising and sustaining productivity in cereal-legume cropping systems in northern GHA,IITA; Savanna Agricultural Research Institute (SARI),2014,IFPRI,GHA,,https://doi.org/10.7910/DVN/3HVZH3,intercrop
"Gliricidia impacts on soil fertility, crop yields and nutrition in ZMB","Chikoye, David",2021,IITA,ZMB,"Maize, Soybean",https://doi.org/10.25502/0fa9-dm27/d,fertilizer
