check,msg,group,dataset_id,contributor
NA terms,NA in: planting_date,agronomy,doi_10.7910_DVN_8AJQJJ,Eduardo Garcia Bendito
NA terms,NA in: planting_date,agronomy,doi_10.18167_DVN1_DLTQWR,Eduardo Garcia Bendito
NA terms,NA in: planting_date,agronomy,doi_10.25502_EZQV-ZZ19,Andrew Sila
NA terms,"NA in: longitude, latitude, planting_date",agronomy,doi_10.25502_7XQN-BB55_D,Robert Hijmans
NA terms,NA in: planting_date,agronomy,doi_10.7910_DVN_RKUMXB,Camila Bonilla
NA terms,NA in: planting_date,agronomy,doi_10.7910_DVN_H23MVL,Cedric Ngakou
NA terms,"NA in: P_fertilizer, K_fertilizer, N_fertilizer",agronomy,hdl_11529_11111,Effie Ochieng'
NA terms,"NA in: P_fertilizer, K_fertilizer, N_fertilizer, planting_date",agronomy,doi_10.5061_dryad.j3tx95xhc,Eduardo Garcia Bendito
not on land,coordinates not on land for: India,agronomy,doi_10.5061_dryad.j3tx95xhc,Eduardo Garcia Bendito
NA terms,NA in: yield,agronomy,doi_10.25502_pakr-y904_d,Cedric Ngakou
NA terms,NA in: planting_date,agronomy,doi_10.25502_DGQZ-YP49_D,Effie Ochieng'
NA terms,"NA in: N_fertilizer, P_fertilizer, K_fertilizer",agronomy,doi_10.25502_A5YJ-B820_D,Cedric Ngakou
NA terms,"NA in: K_fertilizer, P_fertilizer, N_fertilizer",agronomy,doi_10.7910_DVN_0DRM60,Robert Hijmans
all uppercase,names in uppercase: site,agronomy,doi_10.7910_DVN_0DRM60,Robert Hijmans
NA terms,"NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer",agronomy,doi_10.7910_DVN_1UP63T,Robert Hijmans
all uppercase,names in uppercase: site,agronomy,doi_10.7910_DVN_1UP63T,Robert Hijmans
NA terms,"NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer",agronomy,doi_10.7910_DVN_26V1HS,Robert Hijmans
all uppercase,names in uppercase: site,agronomy,doi_10.7910_DVN_26V1HS,Robert Hijmans
NA terms,"NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer",agronomy,doi_10.7910_DVN_3HULF7,Robert Hijmans
all uppercase,names in uppercase: site,agronomy,doi_10.7910_DVN_3HULF7,Robert Hijmans
NA terms,"NA in: K_fertilizer, P_fertilizer, N_fertilizer",agronomy,doi_10.7910_DVN_5LRABO,Robert Hijmans
all uppercase,names in uppercase: site,agronomy,doi_10.7910_DVN_5LRABO,Robert Hijmans
NA terms,"NA in: K_fertilizer, P_fertilizer, N_fertilizer",agronomy,doi_10.7910_DVN_5YCC3C,Robert Hijmans
all uppercase,names in uppercase: site,agronomy,doi_10.7910_DVN_5YCC3C,Robert Hijmans
NA terms,"NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer",agronomy,doi_10.7910_DVN_75MPJJ,Robert Hijmans
all uppercase,names in uppercase: site,agronomy,doi_10.7910_DVN_75MPJJ,Robert Hijmans
NA terms,"NA in: K_fertilizer, P_fertilizer, N_fertilizer",agronomy,doi_10.7910_DVN_7CIDYV,Robert Hijmans
all uppercase,names in uppercase: site,agronomy,doi_10.7910_DVN_7CIDYV,Robert Hijmans
NA terms,"NA in: K_fertilizer, P_fertilizer, N_fertilizer",agronomy,doi_10.7910_DVN_8G1DFQ,Robert Hijmans
all uppercase,names in uppercase: site,agronomy,doi_10.7910_DVN_8G1DFQ,Robert Hijmans
NA terms,"NA in: K_fertilizer, P_fertilizer, N_fertilizer",agronomy,doi_10.7910_DVN_8R7D8R,Robert Hijmans
all uppercase,names in uppercase: site,agronomy,doi_10.7910_DVN_8R7D8R,Robert Hijmans
NA terms,"NA in: K_fertilizer, P_fertilizer, N_fertilizer",agronomy,doi_10.7910_DVN_8YHLBG,Robert Hijmans
all uppercase,names in uppercase: site,agronomy,doi_10.7910_DVN_8YHLBG,Robert Hijmans
NA terms,"NA in: K_fertilizer, P_fertilizer, N_fertilizer",agronomy,doi_10.7910_DVN_AF00KH,Robert Hijmans
all uppercase,names in uppercase: site,agronomy,doi_10.7910_DVN_AF00KH,Robert Hijmans
NA terms,"NA in: yield, K_fertilizer, P_fertilizer, N_fertilizer",agronomy,doi_10.7910_DVN_AKRLF4,Robert Hijmans
all uppercase,names in uppercase: site,agronomy,doi_10.7910_DVN_AKRLF4,Robert Hijmans
NA terms,"NA in: K_fertilizer, P_fertilizer, N_fertilizer",agronomy,doi_10.7910_DVN_CDM9YD,Robert Hijmans
