name,sciname,altname,is_preferred,harvest,groups,fresh_moisture,max_yield,NOTE,snake_case,CamelCase,AGROVOC,CATEGORY,URI
abaca,,,,,fibre_crops,,,,abaca,Abaca,abaca,fibre_crops,http://aims.fao.org/aos/agrovoc/c_4
acorn,,,,,nuts,,,,acorns,Acorns,acorns,nuts,http://aims.fao.org/aos/agrovoc/c_23986
adzuki bean,,,,,beans,,,,adzuki_beans,AdzukiBeans,adzuki beans,pulses,http://aims.fao.org/aos/agrovoc/c_8632
agave,,,,,fibre_crops,,,,agave,Agave,agave,fibre_crops,http://aims.fao.org/aos/agrovoc/c_176
akee,,,,,fruits,,,,akees,Akees,akees,fruits,http://aims.fao.org/aos/agrovoc/c_8697
allspice,,,,,spices,,,,allspice,Allspice,allspice,spices,http://aims.fao.org/aos/agrovoc/c_19193
almond,,,,,nuts,,,,almonds,Almonds,almonds,nuts,http://aims.fao.org/aos/agrovoc/c_8734
amaranth,Amaranthus sp,,,grain; leaves,pseudocereals; vegetables,,,,amaranth,Amaranth,,,
anise,,,,,spices,,,,anise,Anise,anise,spices,http://aims.fao.org/aos/agrovoc/c_8817
apple,,,,,fruits,,,,apples,Apples,apples,fruits,http://aims.fao.org/aos/agrovoc/c_541
apricot,,,,,fruits,,,,apricots,Apricots,apricots,fruits,http://aims.fao.org/aos/agrovoc/c_545
arabica coffee,,,,,coffee,,,,arabica_coffee,ArabicaCoffee,arabica coffee,coffee,http://aims.fao.org/aos/agrovoc/c_566
areca nut,,,,,nuts,,,,areca_nuts,ArecaNuts,areca nuts,nuts,http://aims.fao.org/aos/agrovoc/c_ac0d27db
argan,,,,,oil_crops,,,,argan,Argan,argan,oil_crops,http://aims.fao.org/aos/agrovoc/c_32068
asparagus,,,,,vegetables,,,,asparagus,Asparagus,asparagus,vegetables,http://aims.fao.org/aos/agrovoc/c_669
asparagus bean,Vigna unguiculata subsp. sesquipedalis,yardlong bean; pea bean; long-podded cowpea; Chinese long bean; snake bean,,,pulses,,,,asparagus_beans,AsparagusBeans,asparagus beans,pulses,http://aims.fao.org/aos/agrovoc/c_670
avocado,,,,,fruits,,,,avocados,Avocados,avocados,fruits,http://aims.fao.org/aos/agrovoc/c_9022
babassu palm,,,,,oil_crops,,,,babassu_palm,BabassuPalm,babassu palm,oil_crops,http://aims.fao.org/aos/agrovoc/c_703
balm,,,,,culinary_herbs,,,,balm,Balm,balm,culinary_herbs,http://aims.fao.org/aos/agrovoc/c_25465
bambara groundnut,Vigna subterranea,,,seed,grain_crops,,5000,,bambara_groundnut,BambaraGroundnut,bambara groundnut,grain_crops,http://aims.fao.org/aos/agrovoc/c_15594
banana,Musa acuminata,,,fruit,fruits,,173000,,bananas,Bananas,bananas,fruits,http://aims.fao.org/aos/agrovoc/c_806
barley,Hordeum vulgare,,,grain,cereals,,12000,,barley,Barley,barley,cereals,http://aims.fao.org/aos/agrovoc/c_823
basil,,,,,culinary_herbs,,,,basil,Basil,basil,culinary_herbs,http://aims.fao.org/aos/agrovoc/c_9093
beetroot,,,,,vegetables,,,,beetroot,BeetRoot,beetroot,vegetables,http://aims.fao.org/aos/agrovoc/c_867
bell pepper,,,,,vegetables,,,,sweet_peppers,SweetPeppers,sweet peppers,vegetables,http://aims.fao.org/aos/agrovoc/c_14727
bergamot orange,,,,,fruits,,,,bergamot_orange,BergamotOrange,bergamot orange,fruits,http://aims.fao.org/aos/agrovoc/c_9233
berseem clover,Trifolium alexandrium,,,green manure,feed_crops,,,,berseem_clover,BerseemClover,,,
bilberry,,,,,fruits,,,,bilberries,Bilberries,bilberries,fruits,http://aims.fao.org/aos/agrovoc/c_aeec9b59
black currant,,,,,fruits,,,,black_currants,BlackCurrants,black currants,fruits,http://aims.fao.org/aos/agrovoc/c_945
black gram,Vigna mungo,,,seed,pulses,,,,black_gram,BlackGram,,,
black salsify,,,,,root_crops,,,,black_salsify,BlackSalsify,black salsify,root_crops,http://aims.fao.org/aos/agrovoc/c_0f628632
blackberry,,,,,fruits,,,,blackberries,Blackberries,blackberries,fruits,http://aims.fao.org/aos/agrovoc/c_947
blueberry,,,,,fruits,,,,blueberries,Blueberries,blueberries,fruits,http://aims.fao.org/aos/agrovoc/c_974
borage,,,,seed,oil_seeds,,,,borage_seed,BorageSeed,borage seed,oil_seeds,http://aims.fao.org/aos/agrovoc/c_d2910779
brassica carinata,,,,,vegetables,,,,brassica_carinata,BrassicaCarinata,brassica carinata,vegetables,http://aims.fao.org/aos/agrovoc/c_33311
brazil nut,,,,,nuts,,,,brazil_nuts,BrazilNuts,brazil nuts,nuts,http://aims.fao.org/aos/agrovoc/c_9410
broccoli,,,,,vegetables,,,,broccoli,Broccoli,broccoli,vegetables,http://aims.fao.org/aos/agrovoc/c_7339
brussels sprouts,,,,,vegetables,,,,brussels_sprouts,BrusselsSprouts,brussels sprouts,vegetables,http://aims.fao.org/aos/agrovoc/c_1127
buckwheat,,,,,pseudocereals,,,,buckwheat,Buckwheat,buckwheat,pseudocereals,http://aims.fao.org/aos/agrovoc/c_9471
cabbage,,,,,vegetables,,,,cabbages,Cabbages,cabbages,vegetables,http://aims.fao.org/aos/agrovoc/c_1173
cactus pear,,,,,fruits,,,,cactus_pears,CactusPears,cactus pears,fruits,http://aims.fao.org/aos/agrovoc/c_ba7fc495
calamondin,,,,,fruits,,,,calamondins,Calamondins,calamondins,fruits,http://aims.fao.org/aos/agrovoc/c_15497
cantaloupe,,,,,fruits,,,,cantaloupes,Cantaloupes,cantaloupes,fruits,http://aims.fao.org/aos/agrovoc/c_12714
carambola,,,,,fruits,,,,carambolas,Carambolas,carambolas,fruits,http://aims.fao.org/aos/agrovoc/c_9605
cardamom,,,,,spices,,,,cardamom,Cardamom,cardamom,spices,http://aims.fao.org/aos/agrovoc/c_9620
cardoon,Cynara cardunculus,artichoke thistle,,,vegetables,,,,cardoons,Cardoons,cardoons,vegetables,http://aims.fao.org/aos/agrovoc/c_9623
carob,,,,,pulses,,,,carobs,Carobs,carobs,pulses,http://aims.fao.org/aos/agrovoc/c_9631
carrot,,,,,vegetables,,,,carrots,Carrots,carrots,vegetables,http://aims.fao.org/aos/agrovoc/c_9640
cashews,,,,,nuts,,,,cashews,Cashews,cashews,nuts,http://aims.fao.org/aos/agrovoc/c_9647
cassabanana,,,,,fruits,,,,cassabananas,Cassabananas,cassabananas,fruits,http://aims.fao.org/aos/agrovoc/c_972d313c
cassava,Manihot esculenta,,,roots; leaves,vegetables,,90000,,cassava,Cassava,cassava,vegetables,http://aims.fao.org/aos/agrovoc/c_9649
castor bean,,,,,oil_seeds,,,,castor_beans,CastorBeans,castor beans,oil_seeds,http://aims.fao.org/aos/agrovoc/c_18705
catjang,Vigna unguiculata subsp. cylindrica,,,,pulses,,,,catjang,Catjang,catjang,pulses,http://aims.fao.org/aos/agrovoc/c_1389
cauliflower,,,,,vegetables,,,,cauliflowers,Cauliflowers,cauliflowers,vegetables,http://aims.fao.org/aos/agrovoc/c_1394
celeriac,Apium graveolens var. rapaceum,celery root,,,vegetables,,,,celeriac,Celeriac,celeriac,vegetables,http://aims.fao.org/aos/agrovoc/c_1411
celery,,,,stems; leaves; seed,vegetables,,,,celery,Celery,celery,vegetables,http://aims.fao.org/aos/agrovoc/c_1412
cereal,spp,,NO,seed,cereals,,,,cereal,Cereal,,,
cherimoya,,,,,fruits,,,,cherimoyas,Cherimoyas,cherimoyas,fruits,http://aims.fao.org/aos/agrovoc/c_9761
cherry,,,,,fruits,,,,cherries,Cherries,cherries,fruits,http://aims.fao.org/aos/agrovoc/c_1534
chestnut,,,,,nuts,,,,chestnuts,Chestnuts,chestnuts,nuts,http://aims.fao.org/aos/agrovoc/c_25467
chia,,,,seed,oil_seeds,,,,chia_seeds,ChiaSeeds,chia seeds,oil_seeds,http://aims.fao.org/aos/agrovoc/c_fd182bf3
chickpea,Cicer arientinum,,,seed,pulses,,5000,,chickpeas,Chickpeas,chickpeas,pulses,http://aims.fao.org/aos/agrovoc/c_9785
chicory,,,,leaves; root,vegetables,,,,chicory,Chicory,chicory,vegetables,http://aims.fao.org/aos/agrovoc/c_9786
chilli pepper,,,,,spices,,,,chillies,Chillies,chillies,spices,http://aims.fao.org/aos/agrovoc/c_9795
chinotto,,,,,fruits,,,,chinotto,Chinotto,chinotto,fruits,http://aims.fao.org/aos/agrovoc/c_66133b33
chives,,,,,vegetables,,,,chives,Chives,chives,vegetables,http://aims.fao.org/aos/agrovoc/c_9813
cinnamon,,,,,spices,,,,cinnamon,Cinnamon,cinnamon,spices,http://aims.fao.org/aos/agrovoc/c_9862
citrange,,,,,fruits,,,,citranges,Citranges,citranges,fruits,http://aims.fao.org/aos/agrovoc/c_1629
citron,,,,,fruits,,,,citrons,Citrons,citrons,fruits,http://aims.fao.org/aos/agrovoc/c_1632
citrus fruit,,,,,fruits,,,,citrus_fruits,CitrusFruits,citrus fruits,fruits,http://aims.fao.org/aos/agrovoc/c_1641
clementine,,,,,fruits,,,,clementines,Clementines,clementines,fruits,http://aims.fao.org/aos/agrovoc/c_9895
clover,Trifolium sp.,,,green manure,feed_crops,,,,clover,Clover,clover,feed_crops,http://aims.fao.org/aos/agrovoc/c_7910
cloves,,,,,spices,,,,cloves,Cloves,cloves,spices,http://aims.fao.org/aos/agrovoc/c_23597
cocoa,,,,,cocoa,,,,cocoa_beans,CocoaBeans,cocoa beans,cocoa,http://aims.fao.org/aos/agrovoc/c_1711
coconut,,,,,nuts,,,,coconuts,Coconuts,coconuts,nuts,http://aims.fao.org/aos/agrovoc/c_25470
coffee,Coffea sp.,,,,coffee,,,,coffee,Coffee,,,
common bean,Phaseolus vulgaris,,,seed,pulses,,8000,,common_beans,CommonBeans,common beans,pulses,http://aims.fao.org/aos/agrovoc/c_4098
congusta coffee,,,,,coffee,,,,congusta_coffee,CongustaCoffee,congusta coffee,coffee,http://aims.fao.org/aos/agrovoc/c_1812
coriander,,,,,culinary_herbs,,,,coriander,Coriander,coriander,culinary_herbs,http://aims.fao.org/aos/agrovoc/c_10097
cotton,Gossypium hirsutum,,,fruit,plant_fibres,,5000,,cotton,Cotton,cotton,plant_fibres,http://aims.fao.org/aos/agrovoc/c_1926
cowpea,Vigna unguiculata,,,seed,pulses,,5000,,cowpeas,Cowpeas,cowpeas,pulses,http://aims.fao.org/aos/agrovoc/c_1938
cranberry,,,,,fruits,,,,cranberries,Cranberries,cranberries,fruits,http://aims.fao.org/aos/agrovoc/c_1944
crotalaria,Crotalaria spp,,,depends,green_manures,,2500,,crotalaria,Crotalaria,crotalaria,green_manures,http://aims.fao.org/aos/agrovoc/c_1977
crowberry,,,,,fruits,,,,crowberries,Crowberries,crowberries,fruits,http://aims.fao.org/aos/agrovoc/c_526caa65
cucumber,,,,,vegetables,,,,cucumbers,Cucumbers,cucumbers,vegetables,http://aims.fao.org/aos/agrovoc/c_10195
cucurbit fruit,,,,,fruits,,,,cucurbit_fruits,CucurbitFruits,cucurbit fruits,fruits,http://aims.fao.org/aos/agrovoc/c_2005
cumin,,,,,spices,,,,cumin,Cumin,cumin,spices,http://aims.fao.org/aos/agrovoc/c_10205
date,,,,,fruits,,,,dates,Dates,dates,fruits,http://aims.fao.org/aos/agrovoc/c_25475
dewberry,,,,,fruits,,,,dewberries,Dewberries,dewberries,fruits,http://aims.fao.org/aos/agrovoc/c_2232
dragon fruit,,,,,fruits,,,,dragon_fruits,DragonFruits,dragon fruits,fruits,http://aims.fao.org/aos/agrovoc/c_42ce209e
durian,,,,,fruits,,,,durians,Durians,durians,fruits,http://aims.fao.org/aos/agrovoc/c_10488
eggplant,,,,,vegetables,,,,eggplants,Eggplants,eggplants,vegetables,http://aims.fao.org/aos/agrovoc/c_8998
endive,,,,,vegetables,,,,endives,Endives,endives,vegetables,http://aims.fao.org/aos/agrovoc/c_10596
faba bean,Vicia faba,,,bean,pulses,,6500,,faba_beans,FabaBeans,faba beans,pulses,http://aims.fao.org/aos/agrovoc/c_10722
fenugreek,Trigonella foenum-graecum,,,seed,spices,,5500,,fenugreek,Fenugreek,fenugreek,spices,http://aims.fao.org/aos/agrovoc/c_b8cb7919
fibre crop,spp,,,,industrial_crops,,,,fibre_crops,FibreCrops,fibre crops,industrial_crops,http://aims.fao.org/aos/agrovoc/c_2876
fig,,,,,fruits,,,,figs,Figs,figs,fruits,http://aims.fao.org/aos/agrovoc/c_10840
finger millet,Eleusine coracana,,,grain,cereals,,6000,,finger_millet,FingerMillet,finger millet,cereals,http://aims.fao.org/aos/agrovoc/c_2904
flax,Linum usitatissimum,,,seed; stems,plant_fibres,,,,flax,Flax,flax,plant_fibres,http://aims.fao.org/aos/agrovoc/c_2970
fonio,,,,grain,cereals,,,,fonio,Fonio,fonio,cereals,http://aims.fao.org/aos/agrovoc/c_ed7c5c09
forage crop,,,,,feed_crops,,,,forage,Forage,forage,feed_crops,http://aims.fao.org/aos/agrovoc/c_36108
forage legume,spp,,NO,forage,feed_crops,,,,forage_legume,ForageLegume,,,
garlic,Allium sativum,,,tuber,vegetables,,,,garlic,Garlic,garlic,vegetables,http://aims.fao.org/aos/agrovoc/c_11091
ginger,,,,,spices,,,,ginger,Ginger,ginger,spices,http://aims.fao.org/aos/agrovoc/c_11157
globe artichoke,,,,,vegetables,,,,globe_artichokes,GlobeArtichokes,globe artichokes,vegetables,http://aims.fao.org/aos/agrovoc/c_11171
goji berry,,,,,fruits,,,,goji_berries,GojiBerries,goji berries,fruits,http://aims.fao.org/aos/agrovoc/c_caacd4d4
gomenzer,Brassica carinata,,,leaves,vegetables,,2300,,gomenzer,Gomenzer,,,
gomenzer,,,,,vegetables,,,,gomenzer,Gomenzer,,vegetables,
gooseberry,,,,,fruits,,,,gooseberries,Gooseberries,gooseberries,fruits,http://aims.fao.org/aos/agrovoc/c_3333
grape,,,,fruit; seed,fruits,,,,grapes,Grapes,grapes,fruits,http://aims.fao.org/aos/agrovoc/c_3359
grapefruit,,,,,fruits,,,,grapefruits,Grapefruits,grapefruits,fruits,http://aims.fao.org/aos/agrovoc/c_3358
grass pea,Lathyrus sativus,,,seed,grain_crops,,5000,,grass_pea,GrassPea,grass pea,grain_crops,http://aims.fao.org/aos/agrovoc/c_4218
green bean,,,,,vegetables,,,,green_beans,GreenBeans,green beans,vegetables,http://aims.fao.org/aos/agrovoc/c_f461a9d7
green manure,spp,,NO,green manure,green_manures,,,,green_manure,GreenManure,,,
green onions,,,,,vegetables,,,,green_onions,GreenOnions,green onions,vegetables,http://aims.fao.org/aos/agrovoc/c_ffd65b9e
groundnut,Arachis hypogaea,,,seed,oil_seeds,,6000,,groundnuts,Groundnuts,groundnuts,oil_seeds,http://aims.fao.org/aos/agrovoc/c_11368
guar,Cyamopsis tetragonoloba,,,,feed_crops,,,,guar,Guar,guar,feed_crops,http://aims.fao.org/aos/agrovoc/c_2051
guava,,,,,fruits,,,,guavas,Guavas,guavas,fruits,http://aims.fao.org/aos/agrovoc/c_11392
hazelnut,,,,,nuts,,,,hazelnuts,Hazelnuts,hazelnuts,nuts,http://aims.fao.org/aos/agrovoc/c_18248
hemp,cannabis sativa,,,,plant_fibres,,,,hemp,Hemp,hemp,plant_fibres,http://aims.fao.org/aos/agrovoc/c_3558
horseradish,,,,,spices,,,,horseradish,Horseradish,horseradish,spices,http://aims.fao.org/aos/agrovoc/c_11614
jackfruit,Artocarpus heterophyllus,,,fruit,fruits,,80000,,jackfruit,Jackfruit,jackfruit,fruits,http://aims.fao.org/aos/agrovoc/c_11864
jerusalem artichoke,topinambour,,,,vegetables,,,,jerusalem_artichokes,JerusalemArtichokes,jerusalem artichokes,vegetables,http://aims.fao.org/aos/agrovoc/c_11903
jojoba,,,,,oil_seeds,,,,jojoba,Jojoba,jojoba,oil_seeds,http://aims.fao.org/aos/agrovoc/c_11913
jute,Corchorus olitorius,,,fiber,plant_fibres,,,,jute,Jute,jute,plant_fibres,http://aims.fao.org/aos/agrovoc/c_4065
kaki,,,,,fruits,,,,kaki,Kaki,kaki,fruits,http://aims.fao.org/aos/agrovoc/c_11934
kales,,,,,vegetables,,,,kales,Kales,kales,vegetables,http://aims.fao.org/aos/agrovoc/c_4070
kapok,,,,,plant_fibres,,,,kapok,Kapok,kapok,plant_fibres,http://aims.fao.org/aos/agrovoc/c_16497
kenaf,,,,,plant_fibres,,,,kenaf,Kenaf,kenaf,plant_fibres,http://aims.fao.org/aos/agrovoc/c_4084
kiwi,,,,,fruits,,,,kiwifruits,Kiwifruits,kiwifruits,fruits,http://aims.fao.org/aos/agrovoc/c_12002
kohlrabi,,,,,vegetables,,,,kohlrabi,Kohlrabi,kohlrabi,vegetables,http://aims.fao.org/aos/agrovoc/c_4114
kola nut,Cola sp.,,,seed,nuts,,10000,,kola_nuts,KolaNuts,kola nuts,nuts,http://aims.fao.org/aos/agrovoc/c_25471
kumquats,,,,,fruits,,,,kumquats,Kumquats,kumquats,fruits,http://aims.fao.org/aos/agrovoc/c_22df2056
lablab,Lablab purpureus,,,seed,grain_crops,,5000,,lablab,Lablab,lablab,grain_crops,http://aims.fao.org/aos/agrovoc/c_12024
leek,,,,,vegetables,,,,leeks,Leeks,leeks,vegetables,http://aims.fao.org/aos/agrovoc/c_12128
legume,spp,,NO,,other,,,,legume,Legume,,,
lemon,,,,,fruits,,,,lemons,Lemons,lemons,fruits,http://aims.fao.org/aos/agrovoc/c_4259
lemon grass,,,,,culinary_herbs,,,,lemon_grass,LemonGrass,lemon grass,culinary_herbs,http://aims.fao.org/aos/agrovoc/c_41d978c7
lentil,Lens culinaris,,,seed,pulses,,7000,,lentils,Lentils,lentils,pulses,http://aims.fao.org/aos/agrovoc/c_12140
lettuce,,,,,vegetables,,,,lettuces,Lettuces,lettuces,vegetables,http://aims.fao.org/aos/agrovoc/c_12151
liberica coffee,,,,,coffee,,,,liberica_coffee,LibericaCoffee,liberica coffee,coffee,http://aims.fao.org/aos/agrovoc/c_4308
limequat,,,,,fruits,,,,limequats,Limequats,limequats,fruits,http://aims.fao.org/aos/agrovoc/c_4340
limes,,,,,fruits,,,,limes,Limes,limes,fruits,http://aims.fao.org/aos/agrovoc/c_4341
lingonberry,,,,,fruits,,,,lingonberries,Lingonberries,lingonberries,fruits,http://aims.fao.org/aos/agrovoc/c_ebfdf3a4
litchi,,,,,fruits,,,,litchis,Litchis,litchis,fruits,http://aims.fao.org/aos/agrovoc/c_12283
little millet,Panicum sumatrense,,,grain,cereals,,,,little_millet,LittleMillet,little millet,cereals,http://aims.fao.org/aos/agrovoc/c_cc8f6dca
loganberry,,,,,fruits,,,,loganberries,Loganberries,loganberries,fruits,http://aims.fao.org/aos/agrovoc/c_8055f171
longan,,,,,fruits,,,,longans,Longans,longans,fruits,http://aims.fao.org/aos/agrovoc/c_331528
loquat,,,,,fruits,,,,loquats,Loquats,loquats,fruits,http://aims.fao.org/aos/agrovoc/c_12246
lotus,,,,root,root_crops,,,,lotus_root,LotusRoot,lotus root,root_crops,http://aims.fao.org/aos/agrovoc/c_d1c9cfce
lucerne,Medicago sativa,alfalfa,,feed,feed_crops,,,,lucerne,Lucerne,lucerne,feed_crops,http://aims.fao.org/aos/agrovoc/c_4693
lucuma,,,,,fruits,,,,lucumas,Lucumas,lucumas,fruits,http://aims.fao.org/aos/agrovoc/c_4456
