name,required,description,NAok
dataset_id,yes,id (normalized uri),no
group,yes,Carob group,no
project,no,project that this dataset belongs to (if any),yes
uri,yes,the uri of the dataset,no
license,yes,license that comes with the data,no
data_citation,yes,can be same as publication,no
publication,yes,the doi of the publication,yes
carob_contributor,yes,name(s) of contributers of the aggregation script,no
experiment_type,no,what kind of experiment is this?,yes
has_weather,no,has weather data?,no
data_institutions,no,organizational home(s) of the data providers,yes
