name,description,formula,N,P,K,S
basic slag,Basic slag,,,,,
CAN,Calcium ammonium nitrate,CA-NH4NO3,26,0,0,0
DAP,Diammonium phosphate,(NH4)2HPO4,18,20.1,0,0
DAS,Ammonium sulfate,,21,0,0,24
D-compound,D-compound,,10,20,10,9
ERP,Ethiopian rock phosphate,,,,,
GRP,Gafsa rock phosphate,,,,,
gypsum,Gypsum,,,,,
KCl,Potassium chloride,,0,0,49.8,
KNO,Potassium nitrate,KNO3,0,0,,
lime,Limestone,CaCO3,,,,
none,,,,,,
NPK,NPK,,,,,
NPKS,NPKS,,8,21,7,4
NPS,NPS,,23,21,0,4
SOP,Potassium sulfate,K2SO4,0,0,41.5,18
SSP,Superphosphate,(single),0,8.74,0,0
sympal,Sympal,,0,23,15,4
TSP,Triple superphosphate,,0,19.23,0,0
unknown,,,,,,
urea,Urea,,46,0,0,0
ZnSO4,Zinc sulfate,ZnSO4,,,,
S-compound,S-compound,,8,21,7,4
MOP,Muriate of potash ,,,,,
MgSO4,Magnesium sulfate,MgSO4,,,,
H3BO3,Boric acid,H3BO3,,,,
CaCO3,Calcium carbonate,CaCO3,,,,
