name,include,description
fertilizer,crop; fertilizer_type; soil,crop fertilizer trials
crop_cuts,crop; soil,crop cut data
maize_trials,crop; soil,maize variety trials
rice_trials,crop; soil,rice variety trials
wheat_trials,crop; soil,wheat variety trials
lateblight,crop; soil,potato lateblight trials
biofortification,crop; soil,agronomic biofortification trials
soil_samples,soil,soil sampling data
conservation_agriculture,crop; soil,conservation agriculture trials
simulation,crop; soil,crop simulation trials
cassava_trials,crop; soil,cassava variety trials
potato_trials,crop; soil,potato variety trials
sweetpotato_trials,crop; soil,sweetpotato variety trials
soybean_trials,crop; soil,soybean variety trials
survey,,household and agronomic surveys
