name,type,unit,required,vocabulary,multiple_allowed,valid_min,valid_max,NAok,description,notes,obo
trial_name,character,,,,,,,,Trial title,,
striga_trial,logical,,yes,,,,,,Is this a Striga trial?,,
borer_trial,logical,,yes,,,,,,Is this a borer trial?,,
striga_infected,logical,,yes,,,,,,Striga infection?,,
description,character,,,,,,,,Trial description,,
anthesis,,,,,,,,,time of anthesis,,
asi,,,,,,,,,Anthesis silking interval,,
blight,,,,,,,,,Leaf blight,,
borer,,,,,,,,,Stem borer damage,,
borer_dam_rat,,,,,,,,,Borer damage,,
borer1,,,,,,,,,Stem borer damage 1,,
borer2,,,,,,,,,Stem borer damage 2,,
borer3,,,,,,,,,Stem borer damage 3,,
borer4,,,,,,,,,Stem borer damage 4,,
cob_dam_co,,,,,,,,,Cob damage,,
cob_dam_rt,,,,,,,,,Cob damage,,
curv,,,,,,,,,Curvularia leaf spot severity,,
dead_heart,,,,,,,,,Death of young plants,,
diplodia,,,,,,,,,Stenocarpella ear rot severity,,
dm,,,,,,,,,Maize dwarf mosaic virus incidence,,
dy_poll,,,,,,,,,Numbers of Days to pollination,,
dy_sk,,,,,,,,,Number of Days to silk,,
dy_tass,,,,,,,,,Number of Days to tassling,,
e_asp,,,,,,,,,Ear Aspect,,
e_harv,,,,,,,,,Ear Harvest,,
e_ht,,,,,,,,,Ear Height,,
e_rot,,,,,,,,,Ear Rot,,
ear_dam_co,,,,,,,,,Ear Damage,,
ear_dam_rat,,,,,,,,,Ear Damage,,
eldana,,,,,,,,,Eldana saccharina,,
erot,,,,,,,,,Ear Rot,,
gls,,,,,,,,,Gray leaf spot severity,,
gr_maize,,,,,,,,,Glyphosate Resistant Maize,,
gtext,,,,,,,,,Grain texture,,
gwt,,,,,,,,,Grain Weight,,
helm,,,,,,,,,Maydis leaf blight severity,,
hm,,,,,,,,,Hm,,
husk,,,,,,,,,Ear husk cover,,
insect,,,,,,,,,Insect,,
inst,,,,,,,,,Trial Instance,,
leaf_feed,,,,,,,,,Leaf feed,,
moist,,,,,,,,,Grain moisture,,
mussidia,,,,,,,,,Mussidia nigrivenella - ear borer,,
nitr_rat,,,,,,,,,Grain Nitrogen content,,
p_asp,,,,,,,,,Plant Aspect,,
p_harv,,,,,,,,,Plant Harvest,,
pl_ht,,,,,,,,,Plant Height,,
pl_st,,,,,,,,,Plant Stand,,
polshed,,,,,,,,,Pollen shedding,,
rl,,,,,,,,,Root lodging,,
rl_rat,,,,,,,,,Root lodging,,
rlper,,,,,,,,,Root lodging in percent,,
rust,,,,,,,,,Rust diseases,,
sb_dam_rat,,,,,,,,,Stem borer damage,,
sl,,,,,,,,,Stalk lodging,,
sl_rat,,,,,,,,,Stalk lodging,,
slper,,,,,,,,,Stalk lodging in percent,,
stalk_rot,,,,,,,,,Stalk rot,,
stemtunnel,,,,,,,,,Stem tunneling by stem borers,,
str_co1,,,,,,,,,The number of emerged Striga plants per plot at 8 weeks after planting,,
str_co2,,,,,,,,,The number of emerged Striga plants per plot at 10 weeks after planting,,
str_co3,,,,,,,,,The number of emerged Striga plants per plot at 3 weeks after planting,,
str_rat1,,,,,,,,,"Striga damage symptom rating scored on a scale of 1-5 or 1-9, where 1=no Striga damage symptom and 5 or 9=severe Striga damage symptom at 8 weeks after planting",,
str_rat2,,,,,,,,,"Striga damage symptom rating scored on a scale of 1-5 or 1-9, where 1=no Striga damage symptom and 5 or 9=severe Striga damage symptom at 10 weeks after planting",,
streak,,,,,,,,,Streak virus,,
easpin,,,,,,,,,Ear Aspect - Infested,,
eharvin,,,,,,,,,Ear Harvest - Infested,,
ehtin,,,,,,,,,Ear Height - Infested,,
fwtin,,,,,,,,,Field weight - Infested,,
fwtun,,,,,,,,,Field weight - Non-infested,,
huskin,,,,,,,,,Husk Cover - Infested,,
leaffeed,,,,,,,,,Leaf feed,,
lfeed2,,,,,,,,,Leaf feed,,
paspin,,,,,,,,,Plant Aspect - Infested,,
pharvin,,,,,,,,,Plant Harvest - Infested,,
plhtin,,,,,,,,,Plant Height - Infested,,
plstin,,,,,,,,,Plant Stand - Infested,,
rlin,,,,,,,,,Root lodging - Infested,,
sbdamrat,,,,,,,,,Stem borer damage,,
slin,,,,,,,,,Stalk lodging - Infested,,
yieldin,,,,,,,,,Yield - Infested,,
xxyieldin2,,,,,,,,,Yield 2 - Infested,,
xxyieldun2,,,,,,,,,Yield 2 - Non-infested,,
dyskin,,,,,,,,,Number of Days to silk - Infested,,
eardamin,,,,,,,,,Ear Damage - Infested,,
erotin,,,,,,,,,Ear Rot - Infested,,
moistin,,,,,,,,,Grain moisture - Infested,,
