name,description,N,P,K
alfalfa meal,Alfalfa Meal,,,
bagasse,Bagasse,,,
biochar,Biochar,,,
guano,Bird guano,,,
blood meal,Blood meal,,,
bone meal,Bone meal,,,
compost,Compost,,,
cottonseed meal,CottonSeed Meal,,,
dairy manure,Dairy manure,,,
greensand,Greensand,,,
farmyard manure,Farmyard manure,,,
fish blood and bone,Fish blood and bone,,,
fish fertilizer,Fish fertilizer,,,
horse manure,Horse manure,,,
liquid manure,Liquid manure,,,
milorganite,Milorganite,,,
poultry manure,Poultry manure,,,
oil cake,Oil cake,,,
sawdust,Sawdust,,,
soy meal,Soy Meal,,,
treated sewage sludge,Treated sewage sludge,,,
vermicompost,Vermicompost,,,
worm castings,Worm castings,,,
farmyard manure (wet),Wet farmyard manure,,,
farmyard manure (dry),Dry farmyard manure,,,
