name,sciname,altname,is_preferred,harvest,group,fresh_moisture,max_yield,AGROVOC,URI
abacá,Musa textilis,Manila hemp,yes,leaves,fibre_crops,,,abaca,http://aims.fao.org/aos/agrovoc/c_4
abyssinian cabbage,Brassica carinata,,yes,leaves,vegetables,,,brassica carinata,http://aims.fao.org/aos/agrovoc/c_33311
adzuki bean,Vigna angularis,,yes,seed,pulses,,,adzuki beans,http://aims.fao.org/aos/agrovoc/c_8632
agave,Agave spp.,,yes,leaves,fibre_crops,,,agave,http://aims.fao.org/aos/agrovoc/c_176
akee,Blighia sapida,,yes,fruit,fruits,,,akees,http://aims.fao.org/aos/agrovoc/c_8697
allspice,Pimenta dioica,,yes,,spices,,,allspice,http://aims.fao.org/aos/agrovoc/c_19193
almond,Prunus dulcis,,yes,seed,nuts,,,almonds,http://aims.fao.org/aos/agrovoc/c_8734
amaranth,Amaranthus sp,,yes,seed; leaves,pseudocereals; vegetables,,,,
anise,Pimpinella anisum,,yes,seed,spices,,,anise,http://aims.fao.org/aos/agrovoc/c_8817
apple,Malus domestica,,yes,fruit,fruits,,,apples,http://aims.fao.org/aos/agrovoc/c_541
apricot,Prunus armeniaca,,yes,fruit,fruits,,,apricots,http://aims.fao.org/aos/agrovoc/c_545
arabica coffee,Coffea arabica,,yes,seed,stimulants,,,arabica coffee,http://aims.fao.org/aos/agrovoc/c_566
areca nut,Areca catechu,,yes,seed,nuts,,,areca nuts,http://aims.fao.org/aos/agrovoc/c_ac0d27db
argan,Argania spinosa,,yes,seed,oil_crops,,,argan,http://aims.fao.org/aos/agrovoc/c_32068
asparagus,asparagus officinalis,,yes,stems,vegetables,,,asparagus,http://aims.fao.org/aos/agrovoc/c_669
asparagus bean,Vigna unguiculata subsp. sesquipedalis,yardlong bean; pea bean; long-podded cowpea; Chinese long bean; snake bean,yes,seed,pulses,,,asparagus beans,http://aims.fao.org/aos/agrovoc/c_670
avocado,Persea americana,,yes,fruit,fruits,,,avocados,http://aims.fao.org/aos/agrovoc/c_9022
babassu palm,Attalea speciosa,,yes,seed,oil_crops,,,babassu palm,http://aims.fao.org/aos/agrovoc/c_703
bambara groundnut,Vigna subterranea,,yes,seed,pulses,,5000,bambara groundnut,http://aims.fao.org/aos/agrovoc/c_15594
banana,Musa acuminata,,yes,fruit,fruits,,173000,bananas,http://aims.fao.org/aos/agrovoc/c_806
barley,Hordeum vulgare,,yes,grain,cereals,,12000,barley,http://aims.fao.org/aos/agrovoc/c_823
basil,Ocimum basilicum,,yes,leaves,culinary_herbs,,,basil,http://aims.fao.org/aos/agrovoc/c_9093
beetroot,Beta vulgaris,,yes,root,vegetables,,,beetroot,http://aims.fao.org/aos/agrovoc/c_867
bell pepper,Capsicum annuum,,yes,fruit,vegetables,,,sweet peppers,http://aims.fao.org/aos/agrovoc/c_14727
bergamot orange,Citrus bergamia,,yes,fruit,fruits,,,bergamot orange,http://aims.fao.org/aos/agrovoc/c_9233
berseem clover,Trifolium alexandrium,,yes,above_ground,fodder_crops,,,,
bilberry,Vaccinium myrtillus,,yes,fruit,fruits,,,bilberries,http://aims.fao.org/aos/agrovoc/c_aeec9b59
black currant,Ribes nigrum,,yes,fruit,fruits,,,black currants,http://aims.fao.org/aos/agrovoc/c_945
black fonio,Digitaria iburua,,yes,grain,cereals,,,,
black gram,Vigna mungo,,yes,seed,pulses,,,,
black salsify,Scorzonera hispanica,,yes,root,vegetables,,,black salsify,http://aims.fao.org/aos/agrovoc/c_0f628632
blackberry,Rubus spp,,yes,fruit,fruits,,,blackberries,http://aims.fao.org/aos/agrovoc/c_947
blue agave,Agave tequilana,,yes,,sugar_crops,,,,
blueberry,Vaccinium spp.,,yes,fruit,fruits,,,blueberries,http://aims.fao.org/aos/agrovoc/c_974
borage,Borago officinalis,,yes,seed,oil_seeds,,,borage seed,http://aims.fao.org/aos/agrovoc/c_d2910779
brazil nut,Bertholletia excelsa,,yes,seed,nuts,,,brazil nuts,http://aims.fao.org/aos/agrovoc/c_9410
broccoli,Brassica oleracea var. italica,,yes,,vegetables,,,broccoli,http://aims.fao.org/aos/agrovoc/c_7339
brussels sprouts,Brassica oleracea,,yes,,vegetables,,,brussels sprouts,http://aims.fao.org/aos/agrovoc/c_1127
buckwheat,Fagopyrum esculentum,,yes,seed,pseudocereals,,,buckwheat,http://aims.fao.org/aos/agrovoc/c_9471
cabbage,Brassica oleracea,,yes,,vegetables,,,cabbages,http://aims.fao.org/aos/agrovoc/c_1173
cactus pear,,,yes,fruit,fruits,,,cactus pears,http://aims.fao.org/aos/agrovoc/c_ba7fc495
calamondin,,,yes,fruit,fruits,,,calamondins,http://aims.fao.org/aos/agrovoc/c_15497
cantaloupe,,,yes,fruit,fruits,,,cantaloupes,http://aims.fao.org/aos/agrovoc/c_12714
carambola,,,yes,fruit,fruits,,,carambolas,http://aims.fao.org/aos/agrovoc/c_9605
cardamom,,,yes,seed,spices,,,cardamom,http://aims.fao.org/aos/agrovoc/c_9620
cardoon,Cynara cardunculus,artichoke thistle,yes,,vegetables,,,cardoons,http://aims.fao.org/aos/agrovoc/c_9623
carob,,,yes,seed,pulses,,,carobs,http://aims.fao.org/aos/agrovoc/c_9631
carrot,,,yes,,vegetables,,,carrots,http://aims.fao.org/aos/agrovoc/c_9640
cashew,,,yes,seed,nuts,,,cashews,http://aims.fao.org/aos/agrovoc/c_9647
cassabanana,Sicana odorifera,,yes,fruit,fruits,,,cassabanana,http://aims.fao.org/aos/agrovoc/c_972d313c
cassava,Manihot esculenta,,yes,roots; leaves,root_tuber,,90000,cassava,http://aims.fao.org/aos/agrovoc/c_9649
castor bean,,,yes,seed,oil_seeds,,,castor beans,http://aims.fao.org/aos/agrovoc/c_18705
catjang,Vigna unguiculata subsp. cylindrica,,yes,seed,pulses,,,catjang,http://aims.fao.org/aos/agrovoc/c_1389
cauliflower,,,yes,,vegetables,,,cauliflowers,http://aims.fao.org/aos/agrovoc/c_1394
celeriac,Apium graveolens var. rapaceum,celery root,yes,,vegetables,,,celeriac,http://aims.fao.org/aos/agrovoc/c_1411
celery,,,yes,stems; leaves; seed,vegetables,,,celery,http://aims.fao.org/aos/agrovoc/c_1412
cereal,spp,,no,seed,cereals,,,,
cherimoya,,,yes,fruit,fruits,,,cherimoyas,http://aims.fao.org/aos/agrovoc/c_9761
cherry,,,yes,fruit,fruits,,,cherries,http://aims.fao.org/aos/agrovoc/c_1534
chestnut,,,yes,seed,nuts,,,chestnuts,http://aims.fao.org/aos/agrovoc/c_25467
chia,,,yes,seed,oil_seeds,,,chia seeds,http://aims.fao.org/aos/agrovoc/c_fd182bf3
chickpea,Cicer arientinum,,yes,seed,pulses,,6000,chickpeas,http://aims.fao.org/aos/agrovoc/c_9785
chicory,,,yes,leaves; root,vegetables,,,chicory,http://aims.fao.org/aos/agrovoc/c_9786
chili pepper,,,yes,fruit,spices,,,chillies,http://aims.fao.org/aos/agrovoc/c_9795
chinotto,,,yes,fruit,fruits,,,chinotto,http://aims.fao.org/aos/agrovoc/c_66133b33
chives,,,yes,,vegetables,,,chives,http://aims.fao.org/aos/agrovoc/c_9813
cinnamon,,,yes,stem,spices,,,cinnamon,http://aims.fao.org/aos/agrovoc/c_9862
citrange,,,yes,fruit,fruits,,,citranges,http://aims.fao.org/aos/agrovoc/c_1629
citron,,,yes,fruit,fruits,,,citrons,http://aims.fao.org/aos/agrovoc/c_1632
citrus,,,no,fruit,fruits,,,citrus fruits,http://aims.fao.org/aos/agrovoc/c_1641
clementine,,,yes,fruit,fruits,,,clementines,http://aims.fao.org/aos/agrovoc/c_9895
clover,Trifolium sp.,,yes,above_ground,fodder_crops,,,clover,http://aims.fao.org/aos/agrovoc/c_7910
cloves,Syzygium aromaticum,,yes,flower,spices,,,cloves,http://aims.fao.org/aos/agrovoc/c_23597
cocoa,,,yes,seed,stimulants,,,cocoa beans,http://aims.fao.org/aos/agrovoc/c_1711
coconut,,,yes,seed,nuts,,,coconuts,http://aims.fao.org/aos/agrovoc/c_25470
coffee,Coffea sp.,,yes,seed,stimulants,,,,
common bean,Phaseolus vulgaris,,yes,seed,pulses,,9000,common beans,http://aims.fao.org/aos/agrovoc/c_4098
coriander,,,yes,leaves,culinary_herbs,,,coriander,http://aims.fao.org/aos/agrovoc/c_10097
cotton,Gossypium hirsutum,,yes,bolls,plant_fibres,,5000,cotton,http://aims.fao.org/aos/agrovoc/c_1926
cowpea,Vigna unguiculata,,yes,seed,pulses,,5000,cowpeas,http://aims.fao.org/aos/agrovoc/c_1938
cranberry,,,yes,fruit,fruits,,,cranberries,http://aims.fao.org/aos/agrovoc/c_1944
crotalaria,Crotalaria spp,,yes,above_ground,green_manures,,2500,crotalaria,http://aims.fao.org/aos/agrovoc/c_1977
crowberry,,,yes,fruit,fruits,,,crowberries,http://aims.fao.org/aos/agrovoc/c_526caa65
cucumber,,,yes,,vegetables,,,cucumbers,http://aims.fao.org/aos/agrovoc/c_10195
cucurbit fruit,,,yes,fruit,fruits,,,cucurbit fruits,http://aims.fao.org/aos/agrovoc/c_2005
cumin,,,yes,seed,spices,,,cumin,http://aims.fao.org/aos/agrovoc/c_10205
date,,,yes,fruit,fruits,,,dates,http://aims.fao.org/aos/agrovoc/c_25475
dewberry,,,yes,fruit,fruits,,,dewberries,http://aims.fao.org/aos/agrovoc/c_2232
dragon fruit,,,yes,fruit,fruits,,,dragon fruits,http://aims.fao.org/aos/agrovoc/c_42ce209e
durian,,,yes,fruit,fruits,,,durians,http://aims.fao.org/aos/agrovoc/c_10488
durum wheat,Triticum durum,,yes,grain,cereals,,,,
eggplant,,,yes,fruit,vegetables,,,eggplants,http://aims.fao.org/aos/agrovoc/c_8998
endive,,,yes,leaves,vegetables,,,endives,http://aims.fao.org/aos/agrovoc/c_10596
faba bean,Vicia faba,,yes,seed,pulses,,6500,faba beans,http://aims.fao.org/aos/agrovoc/c_10722
fenugreek,Trigonella foenum-graecum,,yes,seed,spices,,5500,fenugreek,http://aims.fao.org/aos/agrovoc/c_b8cb7919
fiber crop,spp,,no,stems; leaves,fibre_crops,,,fibre crops,http://aims.fao.org/aos/agrovoc/c_2876
fig,,,yes,fruit,fruits,,,figs,http://aims.fao.org/aos/agrovoc/c_10840
finger millet,Eleusine coracana,,yes,grain,cereals,,6000,finger millet,http://aims.fao.org/aos/agrovoc/c_2904
flax,Linum usitatissimum,,yes,seed; stems,oil_seeds; fibre_crops,,,flax,http://aims.fao.org/aos/agrovoc/c_2970
forage crop,,,no,above_ground,fodder_crops,,,forage,http://aims.fao.org/aos/agrovoc/c_36108
forage legume,spp,,no,forage,fodder_crops,,,,
foxtail millet,Setaria italica,,yes,grain,cereals,,,,
garlic,Allium sativum,,yes,tuber,vegetables,,,garlic,http://aims.fao.org/aos/agrovoc/c_11091
ginger,,,yes,tuber,spices,,,ginger,http://aims.fao.org/aos/agrovoc/c_11157
globe artichoke,,,yes,,vegetables,,,globe artichokes,http://aims.fao.org/aos/agrovoc/c_11171
goji berry,,,yes,fruit,fruits,,,goji berries,http://aims.fao.org/aos/agrovoc/c_caacd4d4
gomenzer,Brassica carinata,,yes,leaves,vegetables,,2300,,
gooseberry,,,yes,fruit,fruits,,,gooseberries,http://aims.fao.org/aos/agrovoc/c_3333
grape,,,yes,fruit; seed,fruits,,,grapes,http://aims.fao.org/aos/agrovoc/c_3359
grapefruit,,,yes,fruit,fruits,,,grapefruits,http://aims.fao.org/aos/agrovoc/c_3358
grass pea,Lathyrus sativus,,yes,seed,pulses,,5000,grass pea,http://aims.fao.org/aos/agrovoc/c_4218
green bean,,,yes,pods,vegetables,,,green beans,http://aims.fao.org/aos/agrovoc/c_f461a9d7
green manure,spp,,no,green manure,green_manures,,,,
green onions,,,yes,leaves,vegetables,,,green onions,http://aims.fao.org/aos/agrovoc/c_ffd65b9e
groundnut,Arachis hypogaea,,yes,seed,oil_seeds,,8500,groundnuts,http://aims.fao.org/aos/agrovoc/c_11368
guar,Cyamopsis tetragonoloba,,yes,above_ground,fodder_crops,,,guar,http://aims.fao.org/aos/agrovoc/c_2051
guava,,,yes,fruit,fruits,,,guavas,http://aims.fao.org/aos/agrovoc/c_11392
hazelnut,,,yes,seed,nuts,,,hazelnuts,http://aims.fao.org/aos/agrovoc/c_18248
hemp,cannabis sativa,,yes,stems,fibre_crops,,,hemp,http://aims.fao.org/aos/agrovoc/c_3558
horseradish,,,yes,root,spices,,,horseradish,http://aims.fao.org/aos/agrovoc/c_11614
jackfruit,Artocarpus heterophyllus,,yes,fruit,fruits,,80000,jackfruit,http://aims.fao.org/aos/agrovoc/c_11864
jerusalem artichoke,topinambour,,yes,tuber,root_tuber,,,jerusalem artichokes,http://aims.fao.org/aos/agrovoc/c_11903
jojoba,,,yes,seed,oil_seeds,,,jojoba,http://aims.fao.org/aos/agrovoc/c_11913
jute,Corchorus olitorius,,yes,fiber,fibre_crops,,,jute,http://aims.fao.org/aos/agrovoc/c_4065
kaki,,,yes,fruit,fruits,,,kaki,http://aims.fao.org/aos/agrovoc/c_11934
kale,,,yes,leaves,vegetables,,,kales,http://aims.fao.org/aos/agrovoc/c_4070
kapok,,,yes,,fibre_crops,,,kapok,http://aims.fao.org/aos/agrovoc/c_16497
kenaf,,,yes,,fibre_crops,,,kenaf,http://aims.fao.org/aos/agrovoc/c_4084
kidney bean,Phaseolus vulgaris,,yes,seed,pulses,,6500,,
kiwi,,,yes,fruit,fruits,,,kiwifruits,http://aims.fao.org/aos/agrovoc/c_12002
kohlrabi,,,yes,,vegetables,,,kohlrabi,http://aims.fao.org/aos/agrovoc/c_4114
kola nut,Cola sp.,,yes,seed,nuts,,10000,kola nuts,http://aims.fao.org/aos/agrovoc/c_25471
kumquat,,,yes,fruit,fruits,,,kumquats,http://aims.fao.org/aos/agrovoc/c_22df2056
lablab,Lablab purpureus,,yes,seed,pulses,,5000,lablab,http://aims.fao.org/aos/agrovoc/c_12024
leek,,,yes,,vegetables,,,leeks,http://aims.fao.org/aos/agrovoc/c_12128
legume,spp,,no,,other,,,,
lemon,,,yes,fruit,fruits,,,lemons,http://aims.fao.org/aos/agrovoc/c_4259
lemon balm,Melissa officinalis,,yes,,culinary_herbs,,,balm,http://aims.fao.org/aos/agrovoc/c_25465
lemon grass,,,yes,leaves,culinary_herbs,,,lemon grass,http://aims.fao.org/aos/agrovoc/c_41d978c7
lentil,Lens culinaris,,yes,seed,pulses,,7000,lentils,http://aims.fao.org/aos/agrovoc/c_12140
lettuce,,,yes,,vegetables,,,lettuces,http://aims.fao.org/aos/agrovoc/c_12151
liberian coffee,Coffea liberica,,yes,seed,stimulants,,,liberica coffee,http://aims.fao.org/aos/agrovoc/c_4308
lime,,,yes,fruit,fruits,,,limes,http://aims.fao.org/aos/agrovoc/c_4341
limequat,,,yes,fruit,fruits,,,limequats,http://aims.fao.org/aos/agrovoc/c_4340
lingonberry,,,yes,fruit,fruits,,,lingonberries,http://aims.fao.org/aos/agrovoc/c_ebfdf3a4
litchi,,,yes,fruit,fruits,,,litchis,http://aims.fao.org/aos/agrovoc/c_12283
little millet,Panicum sumatrense,,yes,grain,cereals,,,little millet,http://aims.fao.org/aos/agrovoc/c_cc8f6dca
loganberry,,,yes,fruit,fruits,,,loganberries,http://aims.fao.org/aos/agrovoc/c_8055f171
longan,,,yes,fruit,fruits,,,longans,http://aims.fao.org/aos/agrovoc/c_331528
loquat,,,yes,fruit,fruits,,,loquats,http://aims.fao.org/aos/agrovoc/c_12246
lotus,,,yes,root,root_tuber,,,lotus root,http://aims.fao.org/aos/agrovoc/c_d1c9cfce
lucerne,Medicago sativa,alfalfa,yes,above_ground,fodder_crops,,,lucerne,http://aims.fao.org/aos/agrovoc/c_4693
lucuma,,,yes,fruit,fruits,,,lucumas,http://aims.fao.org/aos/agrovoc/c_4456
macadamia nut,,,yes,seed,nuts,,,macadamia nuts,http://aims.fao.org/aos/agrovoc/c_12296
mace,,,yes,,spices,,,mace,http://aims.fao.org/aos/agrovoc/c_25484
maize,Zea mays,,yes,grain,cereals,12,41500,maize,http://aims.fao.org/aos/agrovoc/c_12332
mandarin,,,yes,fruit,fruits,,,mandarins,http://aims.fao.org/aos/agrovoc/c_4568
mango,Mangifera indica,,yes,fruit,fruits,,100000,mangoes,http://aims.fao.org/aos/agrovoc/c_12367
mangosteen,,,yes,fruit,fruits,,,mangosteens,http://aims.fao.org/aos/agrovoc/c_12368
mate,,,yes,leaves,stimulants,,,mate,http://aims.fao.org/aos/agrovoc/c_4647
millet,spp,,no,grain,cereals,,,millets,http://aims.fao.org/aos/agrovoc/c_4838
mint,,,yes,leaves,culinary_herbs,,,mint,http://aims.fao.org/aos/agrovoc/c_12606
mulberry,,,yes,fruit,fruits,,,mulberries,http://aims.fao.org/aos/agrovoc/c_25487
mung bean,Vigna radiata,,yes,seed,pulses,,,mung beans,http://aims.fao.org/aos/agrovoc/c_4988
mushrooms,,,yes,,vegetables,,,mushrooms,http://aims.fao.org/aos/agrovoc/c_2487
muskmelon,,,yes,fruit,fruits,,,muskmelons,http://aims.fao.org/aos/agrovoc/c_12487
mustard,,,yes,seed,spices,,,mustard seed,http://aims.fao.org/aos/agrovoc/c_fd07a050
nectarine,,,yes,fruit,fruits,,,nectarines,http://aims.fao.org/aos/agrovoc/c_5100
niger ,Guizotia abyssinica,sunflecks,yes,seed,oil_seeds,,,,
no crop,,,yes,,other,,,,
noug,Guziota scarba,,yes,seed,oil_seeds,,5000,noug seed,http://aims.fao.org/aos/agrovoc/c_12827
nutmeg,,,yes,seed,spices,,,nutmegs,http://aims.fao.org/aos/agrovoc/c_23169
oats,Avena sativa,,yes,grain,cereals,,13450,oats,http://aims.fao.org/aos/agrovoc/c_5287
oil palm,,,yes,seed,oil_crops,,,oil palms,http://aims.fao.org/aos/agrovoc/c_5330
okra,Abelmoschus esculentus,,yes,fruit,vegetables,,,okras,http://aims.fao.org/aos/agrovoc/c_12920
olive,,,yes,fruit,fruits,,,olives,http://aims.fao.org/aos/agrovoc/c_12926
onion,,,yes,,vegetables,,,onions,http://aims.fao.org/aos/agrovoc/c_12934
orange,Citrus sinensis,,yes,fruit,fruits,,100000,oranges,http://aims.fao.org/aos/agrovoc/c_7550
orangequat,,,yes,fruit,fruits,,,orangequats,http://aims.fao.org/aos/agrovoc/c_5375
oregano,,,yes,leaves,culinary_herbs,,,oregano,http://aims.fao.org/aos/agrovoc/c_34066
palm heart,,,yes,,vegetables,,,palm hearts,http://aims.fao.org/aos/agrovoc/c_28302
palm kernel,,,yes,seed,oil_seeds,,,palm kernels,http://aims.fao.org/aos/agrovoc/c_25493
papaya,Carica papaya,,yes,fruit,fruits,,,papayas,http://aims.fao.org/aos/agrovoc/c_13087
parsley,Petroselinum crispum,,yes,leaves,culinary_herbs; root_crops,,,parsley,http://aims.fao.org/aos/agrovoc/c_13120
parsley root,Petroselinum crispum,,yes,root,vegetables,,,parsley root,http://aims.fao.org/aos/agrovoc/c_7f40dbdf
parsnip,,,yes,,vegetables,,,parsnips,http://aims.fao.org/aos/agrovoc/c_13122
passion fruit,,,yes,fruit,fruits,,,passion fruits,http://aims.fao.org/aos/agrovoc/c_13127
pawpaw,Asimina triloba,,yes,fruit,fruits,,,pawpaws,http://aims.fao.org/aos/agrovoc/c_ceb1a952
pea,Pisum sativum,,yes,seed,pulses,,10000,peas,http://aims.fao.org/aos/agrovoc/c_13177
peach,,,yes,fruit,fruits,,,peaches,http://aims.fao.org/aos/agrovoc/c_5638
pear,,,yes,fruit,fruits,,,pears,http://aims.fao.org/aos/agrovoc/c_5645
pearl millet,Pennisetum glaucum,,yes,grain,cereals,,15000,pearl millet,http://aims.fao.org/aos/agrovoc/c_e4e17d1b
pecan,,,yes,seed,nuts,,,pecans,http://aims.fao.org/aos/agrovoc/c_13178
pepino,,,yes,fruit,fruits,,,pepino,http://aims.fao.org/aos/agrovoc/c_ea979075
pepper,Capsicum spp,,yes,seed,spices,,100000,pepper,http://aims.fao.org/aos/agrovoc/c_25495
peppermint,,,yes,leaves,culinary_herbs,,,peppermint,http://aims.fao.org/aos/agrovoc/c_ae411b49
perilla,Perilla frutescens,,yes,seed,oil_seeds,,,perilla seed,http://aims.fao.org/aos/agrovoc/c_04f3705c
phacelia,Phacelia tanacetifolia,,yes,above_ground,green_manures,,,,
pigeon pea,Cajanus cajan,,yes,seed,pulses,,7000,pigeon peas,http://aims.fao.org/aos/agrovoc/c_13356
pineapple,,,yes,fruit,fruits,,,pineapples,http://aims.fao.org/aos/agrovoc/c_13394
pistachio,,,yes,seed,nuts,,,pistachios,http://aims.fao.org/aos/agrovoc/c_13413
