name,scientific_name,product_name,notes
none,,,
glyphosate,N-(phosphonomethyl)glycine),,
"2,4-D","2,4-Dichlorophenoxyacetic acid",,
sulfosulfuron,,,
carfentrazone ,,,Contact herbicide used to control broadleaf and sedge weeds in cereals.
atrazine,,,Systemic herbicide that is used to selectively control annual grasses and broadleaf weeds before they emerge
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Guizotia abyssinica,,,
Avena sativa,seed,,
Abelmoschus esculentus,fruit,,
Citrus sinensis,fruit,,
Pisum sativum,seed,,
Pennisetum glaucum,seed,,
Capsicum spp,fruit,,
Cajanus cajan,seed,,
Solanum tuberosum,tuber,,
Brassica napus,seed,,
Oryza sativa,grain,,
Sesbania spp,none,,
Sorghum bicolor,seed,,
Glycine max,seed,,
Saccharum officinarum,stems,,
Helianthus annuus,anuum,,
Crotalaria juncea,green manure,,
Ipomoea batatas,root,,
Eragrostis tef,seed,,
Nicotiana tabacum,leaves,,
Solanum lycopersicum,fruit,,
spp,leaves,,
Mucuna pruriens,green manure,,
Vicia spp,forage,,
Triticum aestivum,seed,,
Dioscorea cayenensis,tuber,,
