sciname,disease
Phytophthora infestans,potato late blight
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Guizotia abyssinica,
Avena sativa,seed
Abelmoschus esculentus,fruit
Citrus sinensis,fruit
Pisum sativum,seed
Pennisetum glaucum,seed
Capsicum spp,fruit
Cajanus cajan,seed
Solanum tuberosum,tuber
Brassica napus,seed
Oryza sativa,grain
Sesbania spp,none
Sorghum bicolor,seed
Glycine max,seed
Saccharum officinarum,stems
Helianthus annuus,anuum
Crotalaria juncea,green manure
Ipomoea batatas,root
Eragrostis tef,seed
Nicotiana tabacum,leaves
Solanum lycopersicum,fruit
spp,leaves
Mucuna pruriens,green manure
Vicia spp,forage
Triticum aestivum,seed
Dioscorea cayenensis,tuber
