name,type,unit,required,vocabulary,multiple_allowed,valid_min,valid_max,NAok,description,notes,obo
planting_date,character,,yes,,no,,,no,"Planting date in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format",,AGRO_00010099
transplanting_date,character,,no,,no,,,yes,"Transplanting date in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format",,
flowering_date,character,,no,,no,,,yes,"Flowering date in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format",,
harvest_date,character,,no,,no,,,yes,"Harvest date in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format",,
season,character,,no,,no,,,yes,Season name,,
on_farm,logical,,no,,no,,,yes,Is this observation on farm (not on station),,AGRO_00000601
is_survey,logical,,no,,no,,,yes,Is this observation from a survey (not an experiment),,
treatment,character,,no,,no,,,yes,Description of the treatment,,AGRO_00000370
rep,integer,,no,,no,,,yes,"Replication number (1, 2, 3, ...) For this specific observation",,AGRO_00000318
crop,character,,yes,crop,no,,,yes,Crop name(s),,AGRO_00000325
variety,character,,no,,no,,,yes,Variety name,,
variety_code,character,,no,,no,,,yes,Variety code (used by breeders),,
variety_type,character,,no,,no,,,yes,"variety grouping (e.g. climbing/bush) and/or ""improved/landrace""",,
intercrops,character,,no,crop,yes,,,yes,Other crop grown together with the main crop,,
previous_crop,character,,no,crop,yes,,,yes,Crop grown on this plot in the prior season,,
crop_rotation,character,,no,crop,yes,,,yes,Crops grown in rotation on this plot,,
dmy_roots,numeric,kg/ha,no,,no,0,5000,yes,Dry-weight biomass of fine roots per ha,,
dmy_stems,numeric,kg/ha,no,,no,0,20000,yes,Dry-weight biomass of stems per ha,,
dmy_leaves,numeric,kg/ha,no,,no,0,20000,yes,Dry-weight biomass of leaves per ha,,
dmy_storage,numeric,kg/ha,no,,no,0,50000,yes,Dry-weight biomass of storage organs per ha,,
dmy_total,numeric,kg/ha,no,,no,0,100000,yes,Dry-weight total biomass per ha,,
dmy_residue,numeric,kg/ha,no,,no,0,100000,yes,Dry-weight residue biomass per ha,,
yield_part,character,,yes,yield_part,no,,,no,"The part of the crop that ""yield"" refer to (e.g. grain, tubers, roots, leaves, fruit)",,
yield,numeric,kg/ha,yes,,no,0,150000,no,"Fresh weight biomass of the main harvestable parts at maturity, per ha",,AGRO_00000176 
residue_yield,numeric,kg/ha,no,,no,0,60000,yes,"Fresh weight of the above ground biomass except for the harvestable parts at maturity, per ha",,AGRO_00000164 
