name,required,description,NAok
dataset_id,yes,id (normalized uri),no
uri,yes,the uri of the dataset,no
authors,no,dataset authors,no
title,yes,title,no
description,no,description,no
group,yes,Carob group,no
license,yes,license that comes with the data,no
carob_contributor,yes,name(s) of contributers of this script,no
data_citation,yes,can be same as publication,no
data_type,yes,"what kind of data is this (e.g. experiment, survey, compilation)",no
publication,yes,the doi of the associated publication (if any),yes
data_institutions,yes,organizational home(s) of the data providers,yes
project,yes,project that this dataset belongs to (if any),yes
carob_date,yes,date of first contribution to Carob,no
revised_by,no,name(s) of contributers who made significant changes,no
revision_date,no,date of last revision,no
