name,type,unit,required,vocabulary,multiple_allowed,valid_min,valid_max,NAok,description,notes,obo
trial_name,character,,,,,,,,Trial title,,
striga_trial,logical,,yes,,,,,,Is this a striga trial?,,
borer_trial,logical,,yes,,,,,,Is this a stem-borer trial?,,
striga_infected,logical,,yes,,,,,,Was the plot infected with striga?,,
description,character,,,,,,,,Trial description,,
blight,,,,,,,,,Leaf blight,,
p_asp,,,,,,,,,Plant Aspect,"Rated on plot basis after milk stage using a scale of 1 to 9, where 1 = excellent overall phenotypic appeal and 9 = poor overall phenotypic appeal.",
p_harv,,,,,,,,,Plant Harvest,,
borer,,,,,,,,,Stem borer damage,,
sb_dam_rat,,,,,,,,,Stem borer damage,,
borer_dam_rat,,,,,,,,,Stem borer damage rating,,
borer1,,,,,,,,,Stem borer damage 1,,
borer2,,,,,,,,,Stem borer damage 2,,
borer3,,,,,,,,,Stem borer damage 3,,
borer4,,,,,,,,,Stem borer damage 4,,
stemtunnel,,,,,,,,,Stem tunneling by stem borers,,
sbdamrat,,,,,,,,,Stem borer damage rating,,
cob_dam_co,,,,,,,,,Cob damage,,
cob_dam_rt,,,,,,,,,Cob damage rating,,
curv,,,,,,,,,Curvularia leaf spot severity,,
dead_heart,,,,,,,,,Death of young plants,,
diplodia,,,,,,,,,Stenocarpella ear rot severity,,
dm,,,,,,,,,Maize dwarf mosaic virus incidence,,
dy_poll,,,,,,,,,Numbers of Days to pollination,,
e_asp,,,,,,,,,Ear Aspect,"Rated for each plot based on freedom from disease and insect damage, ear size, and uniformity, using a scale of 1 to 9, where 1 = clean, uniform, large, and well-?lled ears and 9 = rotten, variable, small, and partially ?lled ears.",
e_harv,,,,,,,,,Ear Harvest,,
e_rot,,,,,,,,,Ear Rot,,
ear_dam_co,,,,,,,,,Ear Damage,,
ear_dam_rat,,,,,,,,,Ear Damage rating,,
eldana,,,,,,,,,Eldana saccharina,,
gls,,,,,,,,,Gray leaf spot severity,,
gr_maize,,,,,,,,,Glyphosate Resistant Maize,,
gtext,,,,,,,,,Grain texture,,
helm,,,,,,,,,Maydis leaf blight severity,,
hm,,,,,,,,,Hm,,
husk,,,,,,,,,Ear husk cover,,
insect,,,,,,,,,Insect,,
inst,,,,,,,,,Trial Instance,,
leaf_feed,,,,,,,,,Leaf feed,,
moist,,,,,,,,,Grain moisture,,
mussidia,,,,,,,,,Mussidia nigrivenella - ear borer,,
polshed,,,,,,,,,Pollen shedding,,
rl,,,,,,,,,Root lodging,,
rl_rat,,,,,,,,,Root lodging rating,,
rlper,,,,,,,,,Root lodging in percent,,
rust,,,,,,,,,Rust diseases,,
sl,,,,,,,,,Stalk lodging,,
sl_rat,,,,,,,,,Stalk lodging rating,,
slper,,,,,,,,,Stalk lodging in percent,,
stalk_rot,,,,,,,,,Stalk rot,,
str_co1,,,,,,,,,The number of emerged Striga plants per plot at 8 weeks after planting,,
str_co2,,,,,,,,,The number of emerged Striga plants per plot at 10 weeks after planting,,
str_co3,,,,,,,,,The number of emerged Striga plants per plot at 3 weeks after planting,,
str_rat1,,,,,,,,,"Striga damage symptom rating scored on a scale of 1-5 or 1-9, where 1=no Striga damage symptom and 5 or 9=severe Striga damage symptom at 8 weeks after planting",,
str_rat2,,,,,,,,,"Striga damage symptom rating scored on a scale of 1-5 or 1-9, where 1=no Striga damage symptom and 5 or 9=severe Striga damage symptom at 10 weeks after planting",,
streak,,,,,,,,,Streak virus,,
easpin,,,,,,,,,Ear Aspect - Infested,,
eharvin,,,,,,,,,Ear Harvest - Infested,,
ehtin,,,,,,,,,Ear Height - Infested,,
fwtin,,,,,,,,,Field weight - Infested,,
fwtun,,,,,,,,,Field weight - Non-infested,,
huskin,,,,,,,,,Husk Cover - Infested,,
leaffeed,,,,,,,,,Leaf feed,,
lfeed2,,,,,,,,,Leaf feed,,
paspin,,,,,,,,,Plant Aspect - Infested,,
pharvin,,,,,,,,,Plant Harvest - Infested,,
rlin,,,,,,,,,Root lodging - Infested,,
slin,,,,,,,,,Stalk lodging - Infested,,
dyskin,,,,,,,,,Number of Days to silk - Infested,,
eardamin,,,,,,,,,Ear Damage - Infested,,
erotin,,,,,,,,,Ear Rot - Infested,,
moistin,,,,,,,,,Grain moisture - Infested,,
