name,sciname,altname,is_preferred,harvest,groups,fresh_moisture,max_yield,NOTE,snake_case,CamelCase,AGROVOC,CATEGORY,URI
Abacá,Musa textilis,Manila hemp,,,fibre_crops,,,,abaca,Abaca,abaca,fibre_crops,http://aims.fao.org/aos/agrovoc/c_4
adzuki bean,Vigna angularis,,,,beans,,,,adzuki_bean,AdzukiBean,adzuki beans,pulses,http://aims.fao.org/aos/agrovoc/c_8632
agave,Agave spp.,,,,fibre_crops,,,,agave,Agave,agave,fibre_crops,http://aims.fao.org/aos/agrovoc/c_176
akee,Blighia sapida,,,,fruits,,,,akee,Akee,akees,fruits,http://aims.fao.org/aos/agrovoc/c_8697
allspice,Pimenta dioica,,,,spices,,,,allspice,Allspice,allspice,spices,http://aims.fao.org/aos/agrovoc/c_19193
almond,Prunus dulcis,,,,nuts,,,,almond,Almond,almonds,nuts,http://aims.fao.org/aos/agrovoc/c_8734
amaranth,Amaranthus sp,,,grain; leaves,pseudocereals; vegetables,,,,amaranth,Amaranth,,,
anise,Pimpinella anisum,,,,spices,,,,anise,Anise,anise,spices,http://aims.fao.org/aos/agrovoc/c_8817
apple,Malus domestica,,,,fruits,,,,apple,Apple,apples,fruits,http://aims.fao.org/aos/agrovoc/c_541
apricot,Prunus armeniaca,,,,fruits,,,,apricot,Apricot,apricots,fruits,http://aims.fao.org/aos/agrovoc/c_545
arabica coffee,Coffea arabica,,,,coffee,,,,arabica_coffee,ArabicaCoffee,arabica coffee,coffee,http://aims.fao.org/aos/agrovoc/c_566
areca nut,Areca catechu,,,,nuts,,,,areca_nut,ArecaNut,areca nuts,nuts,http://aims.fao.org/aos/agrovoc/c_ac0d27db
argan,Argania spinosa,,,,oil_crops,,,,argan,Argan,argan,oil_crops,http://aims.fao.org/aos/agrovoc/c_32068
asparagus,asparagus officinalis,,,,vegetables,,,,asparagus,Asparagus,asparagus,vegetables,http://aims.fao.org/aos/agrovoc/c_669
asparagus bean,Vigna unguiculata subsp. sesquipedalis,yardlong bean; pea bean; long-podded cowpea; Chinese long bean; snake bean,,,pulses,,,,asparagus_bean,AsparagusBean,asparagus beans,pulses,http://aims.fao.org/aos/agrovoc/c_670
avocado,Persea americana,,,,fruits,,,,avocado,Avocado,avocados,fruits,http://aims.fao.org/aos/agrovoc/c_9022
babassu palm,Attalea speciosa,,,,oil_crops,,,,babassu_palm,BabassuPalm,babassu palm,oil_crops,http://aims.fao.org/aos/agrovoc/c_703
bambara groundnut,Vigna subterranea,,,seed,grain_crops,,5000,,bambara_groundnut,BambaraGroundnut,bambara groundnut,grain_crops,http://aims.fao.org/aos/agrovoc/c_15594
banana,Musa acuminata,,,fruit,fruits,,173000,,banana,Banana,bananas,fruits,http://aims.fao.org/aos/agrovoc/c_806
barley,Hordeum vulgare,,,grain,cereals,,12000,,barley,Barley,barley,cereals,http://aims.fao.org/aos/agrovoc/c_823
basil,Ocimum basilicum,,,,culinary_herbs,,,,basil,Basil,basil,culinary_herbs,http://aims.fao.org/aos/agrovoc/c_9093
beetroot,Beta vulgaris,,,,vegetables,,,,beetroot,Beetroot,beetroot,vegetables,http://aims.fao.org/aos/agrovoc/c_867
bell pepper,Capsicum annuum,,,,vegetables,,,,bell_pepper,BellPepper,sweet peppers,vegetables,http://aims.fao.org/aos/agrovoc/c_14727
bergamot orange,Citrus bergamia,,,,fruits,,,,bergamot_orange,BergamotOrange,bergamot orange,fruits,http://aims.fao.org/aos/agrovoc/c_9233
berseem clover,Trifolium alexandrium,,,green manure,feed_crops,,,,berseem_clover,BerseemClover,,,
