title	author	year_pub	provider	country	crop	uri	open_access	checked	in_carob	carobid	carob_url	carob_contributor	carob_folder	duplicate	
Fertilizer Study Gender Babati	IITA	2014	IFPRI	TZA		https://doi.org/10.7910/DVN/74QMCD 	FALSE								
Africa RISING-Effects of P-Fertilizer Rates on Groundnut Yield in Northern GHA	IITA; Ministry of Food and Agriculture (MOFA), Republic of GHA; Savanna Agricultural Research Institute (SARI)	2015	IFPRI	GHA		https://doi.org/10.7910/DVN/MY0ATH	FALSE								
Scaling-up sustainable cropping practices: "Zia" and "Micro-dosing"	IITA; Savanna Agricultural Research Institute (SARI)	2015	IFPRI	GHA		https://doi.org/10.7910/DVN/J6BHT8	FALSE								
Fertilizer Microdosing/Intensification of Maize-legume based systems in the semi-arid areas of tanzania	World Agroforestry Center (ICRAF); Sokoine University of Agriculture (SUA)	2016	IFPRI	TZA		https://doi.org/10.7910/DVN/4DDPFG	FALSE								
Africa RISING TZN- Maize Intensification Using Fertilizer	World Agroforestry Center (ICRAF); Sokoine University of Agriculture (SUA)	2016	IFPRI	TZA		https://doi.org/10.7910/DVN/6YPPQO	FALSE								
Raising and sustaining productivity in cereal-legume cropping systems in northern GHA	IITA; Savanna Agricultural Research Institute (SARI)	2014	IFPRI	GHA		https://doi.org/10.7910/DVN/3HVZH3	FALSE								
Long-term fertility experiments for irrigated Rice in the West African Sahel: agronomic results	Haefele, S.M. (West Africa Rice Development Association (WARDA), BP 96, St. Louis, SEN); Wopereis, M.C.S. (West Africa Rice Development Association (WARDA), 01 BouakeÂ´, BP 2551, Cote dâ€™Ivoire); Wiechmann, H. (Soil Science Department of Hamburg University, Allendeplatz 2, 20148 Hamburg, Germany)	2012	AfricaRice	SEN		https://doi.org/10.7910/DVN/U1XLZU	FALSE								
Towards understanding fertilizer responses in ETH	Kihara, Job (International Center for Tropical Agriculture - CIAT) - ORCID: 0000-0002-4394-9553; Tibebe, Degefie; Gurmensa, Biyensa (International Center for Tropical Agriculture - CIAT) - ORCID: 0000-0003-1882-9207; Lulseged, Desta (International Center for Tropical Agriculture - CIAT)	2017	CIAT	ETH		https://doi.org/10.7910/DVN/RKUMXB	TRUE	TRUE	TRUE	doi_10.7910_DVN_RKUMXB	https://github.com/reagro/carob/blob/master/scripts/fertilizer/doi_10.7910_DVN_RKUMXB.R	RH	fertilizer		
Evaluating Fertilizer Recommendations with Farmers	World Agroforestry Center (ICRAF); Sokoine University of Agriculture (SUA)	2017	IFPRI	TZA		https://doi.org/10.7910/DVN/TW1LEH	FALSE								
Grain Yield Performance of Selected Lowland NERICA and Modern Asian Rice Genotypes in West Africa	K. Saito (Africa Rice Center (WARDA), 01 BP 2031, Cotonou, BEN); Azoma (frica Rice Center (WARDA), 01 BP 2031, Cotonou, BEN); M. SiÃ© (Rice Center (WARDA), 01 BP 2031, Cotonou, BEN)	2012	AfricaRice	BEN		https://doi.org/10.7910/DVN/1MFGTJ	TRUE	TRUE	FALSE						
Africa Soil Information System - Phase 1, Mbinga	Huising, Jeroen	2018	IITA	TZA	Maize	https://doi.org/10.25502/20180814/1239/HJ	TRUE	TRUE	TRUE	doi_10.25502_20180814_1239_HJ.R	https://github.com/reagro/carob/blob/master/scripts/fertilizer/doi_10.25502_20180814_1239_HJ.R  	CN	fertilizer	doi_10.7910_DVN_UNLRGC.R	 
Africa Soil Information System - Phase 1, Kontela	Huising, Jeroen	2018	IITA	MLI		https://doi.org/10.25502/20180814/1219/HJ	TRUE	TRUE	TRUE	doi_10.25502_20180814_1219_HJ.R	https://github.com/reagro/carob/blob/master/scripts/_pending/doi_10.25502_20180814_1219_HJ.R 	CN	pending		
Africa Soil Information System - Phase 1, Pampaida	Huising, Jeroen	2018	IITA	NGA		https://doi.org/10.25502/20180814/1415/HJ	TRUE	TRUE							
Africa Soil Information System - Phase 1, Tuchila S2	Huising, Jeroen	2018	IITA	MWI		https://doi.org/10.25502/20180814/1554/HJ	TRUE	TRUE							
Africa Soil Information System - Phase 1, Tuchila S1	Huising, Jeroen	2018	IITA	MWI		https://doi.org/10.25502/20180814/1554/HJ	TRUE	TRUE							
Replication data for: Can Integration of Legume Trees Increase Yield Stability in Rainfed Maize Cropping Systems in Southern Africa?	Sileshi, G.; Debusho, Legesse Kassa; Akinnifesi, Festus K	2014	ICRAF	MWI, ZMB		https://doi.org/10.34725/DVN/25746	TRUE	TRUE	TRUE	doi_10.34725_DVN_25746.R	https://github.com/reagro/carob/blob/master/scripts/fertilizer/doi_10.34725_DVN_25746.R 	RH	fertilizer		
Africa Soil Information System - Phase 1, Nkhata Bay S2	Huising, Jeroen	2018	IITA	MWI	Maize	https://doi.org/10.25502/20180814/1355/HJ	TRUE	TRUE	TRUE	doi_10.25502_20180814_1355_HJ.R	https://github.com/reagro/carob/blob/master/scripts/fertilizer/doi_10.25502_20180814_1355_HJ.R 	CN	fertilizer	doi_10.7910_DVN_UNLRGC.R	 
Africa Soil Information System - Phase 1, Nkhata Bay S1	Huising, Jeroen	2018	IITA	MWI		https://doi.org/10.25502/20180814/1341/HJ	TRUE								
Africa Soil Information System - Phase 1, Sidindi SR	Huising, Jeroen	2018	IITA	KEN	Maize	https://doi.org/10.25502/20180814/1504/HJ	TRUE	TRUE	TRUE	doi_10.25502_20180814_1504_HJ.R	https://github.com/reagro/carob/blob/master/scripts/fertilizer/doi_10.25502_20180814_1504_HJ.R  	CN	fertilizer	doi_10.7910_DVN_UNLRGC.R	 
Africa Soil Information System - Phase 1, Sidindi LR	Huising, Jeroen	2018	IITA	KEN		https://doi.org/10.25502/20180814/1446/HJ	TRUE								
Replication data for: Integration of legume trees in Maize-based cropping systems improves rain use efficiency and yield stability under rain-fed agriculture	Gudeta W Sileshi (World Agroforestry Centre); Festus K. Akinnifesi (World Agroforestry Centre); Oluyede C. Ajayi (World Agroforestry Centre); Bart Muys (Katholieke Universiteit, Leuven)	2011	ICRAF	ZMB, NGA	Maize	https://doi.org/10.34725/DVN/FUZDMU	TRUE	TRUE	TRUE	doi_10.34725_DVN_FUZDMU.R	https://github.com/reagro/carob/blob/master/scripts/fertilizer/doi_10.34725_DVN_FUZDMU.R  	RH	fertilizer		
Africa Soil Information System - Phase 1, Kiberashi	Huising, Jeroen	2018	IITA	TZA	Maize	https://doi.org/10.25502/20180814/1135/HJ 	TRUE	TRUE	TRUE	doi_10.25502_20180814_1135_HJ.R	https://github.com/reagro/carob/blob/master/scripts/fertilizer/doi_10.25502_20180814_1135_HJ.R 	EGB	fertilizer		
Africa Soil Information System - Phase 1, Koloko	Huising, Jeroen	2018	IITA	MLI	Sorghum	https://doi.org/10.25502/20180814/1154/HJ	TRUE	TRUE	TRUE	doi_10.25502_20180814_1154_HJ.R	https://github.com/reagro/carob/blob/master/scripts/fertilizer/doi_10.25502_20180814_1154_HJ.R 	CN	fertilizer	doi_10.7910_DVN_UNLRGC.R	 
Replication Data for: Maize response to macronutrients and potential for profitability in sub-Saharan Africa	Kihara, Job (International Center for Tropical Agriculture - CIAT) - ORCID: 0000-0002-4394-9553	2016	CIAT	BDI, COD, ETH, GMB, GIN, KEN, LSO, MWI, NGA, RWA, SDN, TZA		https://doi.org/10.7910/DVN/UNLRGC	TRUE	TRUE	TRUE	doi_10.7910_DVN_UNLRGC.R	https://github.com/reagro/carob/blob/master/scripts/fertilizer/doi_10.7910_DVN_UNLRGC.R 	RH	fertilizer		 
Agronomic Survey to Estimate Actual Yield Obtained by Farmers in Their Own Practices and Relation with Management Strategies (CIAT)	International Center for Tropical Agriculture (CIAT); Selian Agricultural Research Institute (SARI)	2017	IFPRI	TZA		https://doi.org/10.7910/DVN/X6QS6M	FALSE								
Replication Data for: Application of secondary nutrients and micronutrients increases crop yields in sub-Saharan Africa	Kihara, Job (International Center for Tropical Agriculture - CIAT) - ORCID: 0000-0002-4394-9553; Sileshi, Gudeta W.; Nziguheba, Generose (International Institute of Tropical Agriculture - IITA) - ORCID: 0000-0003-4227-2242; Kinyua, Michael (KENtta University); Zingore, Shamie (International Plant Nutrition Institute, Sub-Saharan Africa Program - IFDC) - ORCID: 0000-0003-0204-7913; Sommer, Rolf (International Center for Tropical Agriculture - CIAT) - ORCID: 0000-0001-7599-9056	2017	CIAT			https://doi.org/10.7910/DVN/8AJQJJ	TRUE	TRUE	TRUE	doi_10.7910_DVN_8AJQJJ.R	carob/doi_10.7910_DVN_8AJQJJ.R at master · reagro/carob · GitHub	EGB	fertilizer		
Responses of upland NERICA Rice varieties to nitrogen and plant density	Oikeh, Sylvester (Africa Rice Center, Cotonou, BEN); TourÃ©, Amadou (Africa Rice Center, Cotonou, BEN); SidibÃ©, Baba (IER-CRRA, Sikasso, MLI); Niang, Abibou (Africa Rice Center, Cotonou, BEN); Semon, Mande (Africa Rice Center, Cotonou, BEN); Sokei, Yoshimi (Africa Rice Center, Cotonou, BEN); Mariko, Mariame (Africa Rice Center, Cotonou, BEN)	2012	AfricaRice	BEN	Rice	https://doi.org/10.7910/DVN/JWUEGN	TRUE	TRUE	TRUE	doi_10.7910_DVN_JWUEGN.R	https://github.com/reagro/carob/blob/master/scripts/_pending/doi_10.7910_DVN_JWUEGN.R 	SM	pending		
Promoting Sustainable Intensification Through Efficient Application of Different Sources of Phosphorus (Minjingu Granular, Minjingu Mazao, DAP and TSP) (CIAT)	International Center for Tropical Agriculture (CIAT); Selian Agricultural Research Institute (SARI)	2017	IFPRI	TZA		https://doi.org/10.7910/DVN/G2CSNP	FALSE								
Replication Data for: Trade-Offs and Synergies Between Yield, Labor, Profit, and Risk in MWIan Maize-Based Cropping Systems	International Food Policy Research Institute (IFPRI)	2018	IFPRI	MWI		https://doi.org/10.7910/DVN/ILVSXJ	TRUE								
