"title","author","year_pub","provider","country","crop","uri","curi","nuri"
"Africa RISING TZN- Maize Intensification Using Fertilizer","World Agroforestry Center (ICRAF); Sokoine University of Agriculture (SUA)","2016","IFPRI","TZA","","https://doi.org/10.7910/DVN/6YPPQO","doi_10.7910_DVN_6YPPQO",NA
"Africa RISING-Effects of P-Fertilizer Rates on Groundnut Yield in Northern GHA","IITA; Ministry of Food and Agriculture (MOFA), Republic of GHA; Savanna Agricultural Research Institute (SARI)","2015","IFPRI","GHA","","https://doi.org/10.7910/DVN/MY0ATH","doi_10.7910_DVN_MY0ATH",NA
"Long-term fertility experiments for irrigated Rice in the West African Sahel: agronomic results","Haefele, S.M. (West Africa Rice Development Association (WARDA), BP 96, St. Louis, SEN); Wopereis, M.C.S. (West Africa Rice Development Association (WARDA), 01 BouakeÃ‚Â´, BP 2551, Cote dÃ¢â‚¬â„¢Ivoire); Wiechmann, H. (Soil Science Department of Hamburg University, Allendeplatz 2, 20148 Hamburg, Germany)","2012","AfricaRice","SEN","","https://doi.org/10.7910/DVN/U1XLZU","doi_10.7910_DVN_U1XLZU",NA
"OCP validation trials for Maize fertilizers,  Institute for Agricultural Research (IAR) - NGA","Huising, Jeroen","2021","International Institue of Tropical Agriculture (IITA)","NGA","Maize","https://doi.org/10.25502/3348-6831/d","doi_10.25502_3348-6831_d",NA
"OCP validation trials for Maize fertilizers, National Agricultural Extension and Research Liaison Services (NAERLS) - NGA","Huising, Jeroen","2021","IITA","NGA","Maize","https://doi.org/10.25502/rhv4-6g25/d","doi_10.25502_rhv4-6g25_d",NA
"Optimization of N dose in rice under conservation agriculture with sub-surface drip fertigation","Biswajit, Raja","2022","CIMMYT","IND","rice","https://hdl.handle.net/11529/10548773","hdl_11529_10548773",NA
"GHA Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Baseline Evaluation Survey","International Food Policy Research Institute (IFPRI)","2015","IFPRI","GHA","","https://doi.org/10.7910/DVN/QUB9UT","doi_10.7910_DVN_QUB9UT",NA
"MLI Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Baseline Evaluation Survey","International Food Policy Research Institute (IFPRI)","2015","IFPRI","MLI","","https://doi.org/10.7910/DVN/UDKSBJ","doi_10.7910_DVN_UDKSBJ",NA
"ETH Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Baseline Evaluation Survey","International Food Policy Research Institute (IFPRI)","2016","IFPRI","ETH",NA,"https://doi.org/10.7910/DVN/H6RWOO","doi_10.7910_DVN_H6RWOO",NA
"Grain Yield Performance of Selected Lowland NERICA and Modern Asian Rice Genotypes in West Africa","K. Saito (Africa Rice Center (WARDA), 01 BP 2031, Cotonou, BEN); Azoma (frica Rice Center (WARDA), 01 BP 2031, Cotonou, BEN); M. Sie (Rice Center (WARDA), 01 BP 2031, Cotonou, BEN)","2012","AfricaRice","BEN",NA,"https://doi.org/10.7910/DVN/1MFGTJ","doi_10.7910_DVN_1MFGTJ",NA
"MWI Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Baseline Evaluation Survey","International Food Policy Research Institute (IFPRI)","2015","IFPRI","MWI",NA,"https://doi.org/10.7910/DVN/28557","doi_10.7910_DVN_28557",NA
"TZN Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Baseline Evaluation Survey","International Food Policy Research Institute (IFPRI)","2015","IFPRI","TZA",NA,"https://doi.org/10.7910/DVN/PPUL2W","doi_10.7910_DVN_PPUL2W",NA
